* Measurement data measured by REW V5.30 beta 5
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -16.0 dBFS, measurement signal peak level -14.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -5.5 dBFS using an acoustic timing reference
* Dated: 2023. 12. 14 ¿ÀÀü 2:08:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0202 ms (-6.9 mm, -0.27 in) using estimated IR delay relative to Acoustic reference played from 1: EPOS GSX 300 1 with no timing offset
* Measurement: L Default Black Tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.941	-153.6862
1.015000	63.259	-154.7158
1.030000	63.571	-155.7165
1.044000	63.856	-156.6273
1.060000	64.172	-157.6440
1.075000	64.458	-158.5763
1.090000	64.734	-159.4909
1.106000	65.018	-160.4471
1.120000	65.260	-161.2651
1.138000	65.566	-162.2894
1.150000	65.766	-162.9554
1.172000	66.127	-164.1427
1.180000	66.256	-164.5640
1.206000	66.669	-165.8963
1.220000	66.887	-166.5913
1.241000	67.208	-167.6059
1.250000	67.344	-168.0310
1.265000	67.567	-168.7268
1.280000	67.788	-169.4076
1.315000	68.292	-170.9411
1.320000	68.363	-171.1542
1.340000	68.643	-171.9928
1.360000	68.920	-172.8102
1.380000	69.193	-173.6076
1.400000	69.462	-174.3864
1.430000	69.859	-175.5225
1.450000	70.121	-176.2599
1.475000	70.443	-177.1590
1.500000	70.758	-178.0294
1.525000	71.065	-178.8717
1.550000	71.365	-179.6888
1.575000	71.657	179.5161
1.600000	71.943	178.7402
1.625000	72.222	177.9807
1.650000	72.496	177.2353
1.675000	72.765	176.5016
1.700000	73.029	175.7775
1.725000	73.288	175.0612
1.750000	73.544	174.3509
1.775000	73.796	173.6450
1.800000	74.045	172.9420
1.825000	74.292	172.2412
1.850000	74.535	171.5438
1.875000	74.773	170.8525
1.900000	75.007	170.1686
1.925000	75.235	169.4926
1.950000	75.460	168.8245
1.975000	75.680	168.1644
2.000000	75.896	167.5123
2.030000	76.151	166.7399
2.060000	76.400	165.9783
2.090000	76.646	165.2270
2.120000	76.887	164.4854
2.140000	77.046	163.9960
2.180000	77.360	163.0284
2.200000	77.514	162.5495
2.240000	77.818	161.6006
2.270000	78.040	160.8966
2.300000	78.257	160.1997
2.330000	78.470	159.5103
2.360000	78.679	158.8287
2.400000	78.951	157.9324
2.430000	79.152	157.2696
2.470000	79.414	156.3983
2.500000	79.608	155.7540
2.540000	79.862	154.9068
2.580000	80.111	154.0715
2.620000	80.355	153.2453
2.650000	80.534	152.6313
2.690000	80.767	151.8209
2.720000	80.938	151.2196
2.760000	81.162	150.4272
2.800000	81.382	149.6461
2.850000	81.651	148.6858
2.900000	81.914	147.7436
2.950000	82.172	146.8178
3.000000	82.423	145.9038
3.040000	82.618	145.1805
3.070000	82.763	144.6431
3.110000	82.952	143.9339
3.150000	83.137	143.2336
3.200000	83.364	142.3720
3.250000	83.587	141.5262
3.300000	83.806	140.6959
3.350000	84.020	139.8785
3.400000	84.229	139.0718
3.450000	84.433	138.2758
3.500000	84.633	137.4908
3.550000	84.829	136.7173
3.600000	85.021	135.9556
3.650000	85.210	135.2055
3.700000	85.396	134.4656
3.750000	85.578	133.7342
3.820000	85.827	132.7242
3.870000	86.000	132.0133
3.950000	86.272	130.8950
4.000000	86.437	130.2081
4.060000	86.633	129.3952
4.120000	86.824	128.5925
4.180000	87.011	127.7996
4.250000	87.224	126.8875
4.310000	87.403	126.1171
4.370000	87.578	125.3575
4.440000	87.779	124.4833
4.500000	87.946	123.7422
4.550000	88.083	123.1307
4.620000	88.271	122.2846
4.680000	88.429	121.5699
4.750000	88.609	120.7487
4.820000	88.785	119.9391
4.870000	88.908	119.3668
4.940000	89.076	118.5740
5.000000	89.218	117.9037
5.080000	89.402	117.0248
5.150000	89.560	116.2697
5.220000	89.714	115.5253
5.300000	89.885	114.6865
5.380000	90.053	113.8622
5.450000	90.196	113.1542
5.520000	90.337	112.4587
5.600000	90.493	111.6768
5.700000	90.684	110.7177
5.800000	90.870	109.7801
5.900000	91.051	108.8647
6.000000	91.228	107.9690
6.080000	91.366	107.2654
6.150000	91.484	106.6590
6.220000	91.601	106.0611
6.300000	91.732	105.3875
6.400000	91.893	104.5589
6.500000	92.050	103.7442
6.600000	92.204	102.9422
6.700000	92.355	102.1518
6.800000	92.503	101.3721
6.900000	92.647	100.6029
7.000000	92.788	99.8432
7.100000	92.926	99.0920
7.200000	93.060	98.3495
7.300000	93.192	97.6163
7.400000	93.320	96.8917
7.500000	93.446	96.1752
7.620000	93.592	95.3271
7.750000	93.746	94.4241
7.880000	93.896	93.5360
8.000000	94.029	92.7303
8.120000	94.159	91.9391
8.250000	94.296	91.0970
8.380000	94.429	90.2707
8.500000	94.549	89.5220
8.620000	94.666	88.7857
8.750000	94.790	88.0017
8.850000	94.883	87.4079
9.000000	95.019	86.5311
9.120000	95.126	85.8411
9.250000	95.238	85.1045
9.380000	95.349	84.3784
9.500000	95.448	83.7176
9.620000	95.546	83.0652
9.750000	95.649	82.3678
9.880000	95.745	81.6803
10.000000	95.825	81.0543
10.150000	95.916	80.2830
