* Measurement data measured by REW V5.30 beta 5
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -15.9 dBFS, measurement signal peak level -14.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -5.5 dBFS using an acoustic timing reference
* Dated: 2023. 12. 14 ¿ÀÀü 2:10:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0223 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from 2: EPOS GSX 300 2 with no timing offset
* Measurement: R Default Black Tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	65.546	-151.9916
1.015000	65.807	-153.1215
1.030000	66.063	-154.2201
1.044000	66.297	-155.2198
1.060000	66.559	-156.3348
1.075000	66.797	-157.3564
1.090000	67.029	-158.3575
1.106000	67.269	-159.4056
1.120000	67.475	-160.3078
1.138000	67.737	-161.4475
1.150000	67.909	-162.1944
1.172000	68.220	-163.5366
1.180000	68.332	-164.0159
1.206000	68.690	-165.5405
1.220000	68.880	-166.3406
1.241000	69.162	-167.5131
1.250000	69.281	-168.0055
1.265000	69.478	-168.8128
1.280000	69.673	-169.6035
1.315000	70.119	-171.3844
1.320000	70.182	-171.6316
1.340000	70.431	-172.6027
1.360000	70.677	-173.5459
1.380000	70.919	-174.4617
1.400000	71.159	-175.3508
1.430000	71.512	-176.6358
1.450000	71.744	-177.4612
1.475000	72.029	-178.4597
1.500000	72.308	-179.4250
1.525000	72.581	179.6394
1.550000	72.848	178.7309
1.575000	73.108	177.8471
1.600000	73.364	176.9856
1.625000	73.614	176.1443
1.650000	73.859	175.3214
1.675000	74.100	174.5150
1.700000	74.337	173.7234
1.725000	74.571	172.9451
1.750000	74.801	172.1786
1.775000	75.028	171.4227
1.800000	75.253	170.6761
1.825000	75.476	169.9378
1.850000	75.695	169.2078
1.875000	75.911	168.4868
1.900000	76.122	167.7754
1.925000	76.330	167.0737
1.950000	76.534	166.3818
1.975000	76.734	165.6999
2.000000	76.931	165.0278
2.030000	77.164	164.2341
2.060000	77.392	163.4542
2.090000	77.617	162.6877
2.120000	77.839	161.9344
2.140000	77.985	161.4393
2.180000	78.274	160.4652
2.200000	78.417	159.9859
2.240000	78.698	159.0414
2.270000	78.904	158.3447
2.300000	79.106	157.6578
2.330000	79.305	156.9804
2.360000	79.501	156.3124
2.400000	79.757	155.4357
2.430000	79.945	154.7881
2.470000	80.193	153.9376
2.500000	80.376	153.3087
2.540000	80.617	152.4817
2.580000	80.854	151.6669
2.620000	81.086	150.8638
2.650000	81.257	150.2689
2.690000	81.482	149.4855
2.720000	81.647	148.9050
2.760000	81.864	148.1399
2.800000	82.077	147.3846
2.850000	82.338	146.4531
2.900000	82.594	145.5345
2.950000	82.845	144.6271
3.000000	83.091	143.7293
3.040000	83.284	143.0181
3.070000	83.426	142.4892
3.110000	83.612	141.7903
3.150000	83.795	141.0987
3.200000	84.020	140.2450
3.250000	84.241	139.4033
3.300000	84.457	138.5728
3.350000	84.669	137.7513
3.400000	84.876	136.9374
3.450000	85.078	136.1319
3.500000	85.276	135.3356
3.550000	85.470	134.5495
3.600000	85.661	133.7740
3.650000	85.847	133.0089
3.700000	86.030	132.2520
3.750000	86.209	131.5010
3.820000	86.453	130.4606
3.870000	86.622	129.7276
3.950000	86.887	128.5762
4.000000	87.048	127.8715
4.060000	87.238	127.0398
4.120000	87.422	126.2189
4.180000	87.602	125.4083
4.250000	87.807	124.4782
4.310000	87.978	123.6968
4.370000	88.145	122.9313
4.440000	88.336	122.0567
4.500000	88.495	121.3193
4.550000	88.625	120.7132
4.620000	88.803	119.8788
4.680000	88.952	119.1783
4.750000	89.123	118.3794
4.820000	89.290	117.5987
4.870000	89.407	117.0505
4.940000	89.567	116.2957
5.000000	89.702	115.6607
5.080000	89.879	114.8317
5.150000	90.030	114.1227
5.220000	90.179	113.4280
5.300000	90.345	112.6495
5.380000	90.508	111.8865
5.450000	90.648	111.2309
5.520000	90.787	110.5858
5.600000	90.942	109.8611
5.700000	91.132	108.9720
5.800000	91.317	108.0995
5.900000	91.499	107.2413
6.000000	91.677	106.3965
6.080000	91.816	105.7296
6.150000	91.936	105.1522
6.220000	92.054	104.5800
6.300000	92.186	103.9316
6.400000	92.348	103.1292
6.500000	92.505	102.3364
6.600000	92.659	101.5537
6.700000	92.809	100.7797
6.800000	92.955	100.0142
6.900000	93.097	99.2588
7.000000	93.235	98.5143
7.100000	93.370	97.7790
7.200000	93.501	97.0535
7.300000	93.629	96.3391
7.400000	93.753	95.6360
7.500000	93.874	94.9428
7.620000	94.016	94.1246
7.750000	94.165	93.2554
7.880000	94.309	92.4026
8.000000	94.439	91.6291
8.120000	94.566	90.8684
8.250000	94.699	90.0573
8.380000	94.829	89.2593
8.500000	94.945	88.5334
8.620000	95.059	87.8171
8.750000	95.179	87.0522
8.850000	95.269	86.4714
9.000000	95.400	85.6120
9.120000	95.502	84.9354
9.250000	95.610	84.2134
9.380000	95.715	83.5024
9.500000	95.810	82.8560
9.620000	95.903	82.2194
9.750000	96.001	81.5397
9.880000	96.093	80.8698
10.000000	96.169	80.2596
10.150000	96.257	79.5065
10.300000	96.337	78.7623
10.440000	96.408	78.0747
10.600000	96.485	77.2961
10.750000	96.555	76.5725
10.900000	96.623	75.8553
11.060000	96.692	75.0991
11.200000	96.750	74.4454
11.380000	96.821	73.6202
11.500000	96.867	73.0809
11.720000	96.947	72.1175
11.800000	96.975	71.7762
12.060000	97.065	70.6985
12.200000	97.112	70.1364
12.410000	97.187	69.3112
12.500000	97.222	68.9615
12.650000	97.284	68.3819
12.800000	97.349	67.8026
13.150000	97.499	66.4381
13.200000	97.519	66.2417
13.400000	97.598	65.4538
13.600000	97.669	64.6732
13.800000	97.734	63.9119
14.000000	97.791	63.1884
14.300000	97.868	62.2020
14.500000	97.918	61.6229
14.750000	97.985	60.9792
15.000000	98.063	60.3974
15.250000	98.155	59.8276
15.500000	98.260	59.2148
15.750000	98.371	58.5176
16.000000	98.482	57.7142
16.250000	98.584	56.8165
16.500000	98.669	55.8589
16.750000	98.734	54.8921
17.000000	98.781	53.9693
17.250000	98.813	53.1290
17.500000	98.840	52.3913
17.750000	98.866	51.7497
18.000000	98.899	51.1783
