* Measurement data measured by REW V5.30 beta 5
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -15.8 dBFS, measurement signal peak level -11.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -5.5 dBFS using an acoustic timing reference
* Dated: 2023. 12. 14 ¿ÀÀü 2:05:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0191 ms (-6.5 mm, -0.26 in) using estimated IR delay relative to Acoustic reference played from 1: EPOS GSX 300 1 with no timing offset
* Measurement: L Default White Tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	63.373	-154.3696
1.015000	63.681	-155.3350
1.030000	63.983	-156.2764
1.044000	64.259	-157.1357
1.060000	64.566	-158.0976
1.075000	64.846	-158.9826
1.090000	65.117	-159.8530
1.106000	65.396	-160.7654
1.120000	65.635	-161.5472
1.138000	65.936	-162.5278
1.150000	66.134	-163.1664
1.172000	66.490	-164.3064
1.180000	66.617	-164.7114
1.206000	67.023	-165.9944
1.220000	67.238	-166.6649
1.241000	67.554	-167.6453
1.250000	67.687	-168.0566
1.265000	67.907	-168.7306
1.280000	68.124	-169.3910
1.315000	68.620	-170.8818
1.320000	68.690	-171.0894
1.340000	68.966	-171.9072
1.360000	69.238	-172.7056
1.380000	69.507	-173.4862
1.400000	69.772	-174.2500
1.430000	70.164	-175.3668
1.450000	70.421	-176.0934
1.475000	70.740	-176.9811
1.500000	71.051	-177.8419
1.525000	71.354	-178.6760
1.550000	71.651	-179.4862
1.575000	71.940	179.7245
1.600000	72.223	178.9532
1.625000	72.500	178.1975
1.650000	72.771	177.4547
1.675000	73.038	176.7228
1.700000	73.299	175.9996
1.725000	73.557	175.2833
1.750000	73.810	174.5722
1.775000	74.060	173.8646
1.800000	74.307	173.1592
1.825000	74.552	172.4551
1.850000	74.793	171.7535
1.875000	75.029	171.0575
1.900000	75.260	170.3682
1.925000	75.487	169.6862
1.950000	75.710	169.0118
1.975000	75.928	168.3449
2.000000	76.143	167.6856
2.030000	76.395	166.9043
2.060000	76.643	166.1334
2.090000	76.887	165.3723
2.120000	77.126	164.6207
2.140000	77.284	164.1244
2.180000	77.594	163.1425
2.200000	77.748	162.6562
2.240000	78.048	161.6916
2.270000	78.268	160.9752
2.300000	78.484	160.2654
2.330000	78.695	159.5627
2.360000	78.902	158.8677
2.400000	79.172	157.9532
