* Measurement data measured by REW V5.30 beta 5
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -16.3 dBFS, measurement signal peak level -14.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -5.5 dBFS using an acoustic timing reference
* Dated: 2023. 12. 14 ¿ÀÀü 2:09:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0209 ms (-7.2 mm, -0.28 in) using estimated IR delay relative to Acoustic reference played from 2: EPOS GSX 300 2 with no timing offset
* Measurement: R Default White Tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	63.108	-154.2380
1.015000	63.436	-155.2339
1.030000	63.757	-156.2015
1.044000	64.050	-157.0820
1.060000	64.375	-158.0645
1.075000	64.668	-158.9654
1.090000	64.951	-159.8489
1.106000	65.242	-160.7721
1.120000	65.490	-161.5608
1.138000	65.802	-162.5467
1.150000	66.006	-163.1870
1.172000	66.374	-164.3267
1.180000	66.506	-164.7306
1.206000	66.925	-166.0069
1.220000	67.147	-166.6721
1.241000	67.473	-167.6428
1.250000	67.610	-168.0493
1.265000	67.837	-168.7146
1.280000	68.061	-169.3656
1.315000	68.572	-170.8322
1.320000	68.643	-171.0361
1.340000	68.927	-171.8386
1.360000	69.207	-172.6214
1.380000	69.483	-173.3857
1.400000	69.755	-174.1330
1.430000	70.158	-175.2246
1.450000	70.423	-175.9342
1.475000	70.750	-176.8001
1.500000	71.069	-177.6380
1.525000	71.381	-178.4480
1.550000	71.685	-179.2332
1.575000	71.981	-179.9969
1.600000	72.271	179.2576
1.625000	72.554	178.5276
1.650000	72.832	177.8105
1.675000	73.104	177.1040
1.700000	73.371	176.4058
1.725000	73.634	175.7140
1.750000	73.893	175.0269
1.775000	74.149	174.3426
1.800000	74.402	173.6599
1.825000	74.652	172.9781
1.850000	74.898	172.2988
1.875000	75.140	171.6254
1.900000	75.377	170.9594
1.925000	75.609	170.3010
1.950000	75.836	169.6502
1.975000	76.059	169.0069
2.000000	76.279	168.3709
2.030000	76.537	167.6169
2.060000	76.790	166.8724
2.090000	77.039	166.1367
2.120000	77.284	165.4091
2.140000	77.445	164.9281
2.180000	77.763	163.9748
2.200000	77.919	163.5021
2.240000	78.227	162.5640
2.270000	78.452	161.8674
2.300000	78.672	161.1772
2.330000	78.888	160.4940
2.360000	79.100	159.8179
2.400000	79.376	158.9277
2.430000	79.579	158.2684
2.470000	79.845	157.4005
2.500000	80.041	156.7575
2.540000	80.298	155.9102
2.580000	80.550	155.0729
2.620000	80.796	154.2430
2.650000	80.977	153.6253
2.690000	81.213	152.8088
2.720000	81.386	152.2024
2.760000	81.612	151.4025
2.800000	81.833	150.6130
2.850000	82.104	149.6414
2.900000	82.368	148.6871
2.950000	82.627	147.7478
3.000000	82.879	146.8185
3.040000	83.075	146.0817
3.070000	83.219	145.5337
3.110000	83.408	144.8099
3.150000	83.593	144.0951
3.200000	83.820	143.2154
3.250000	84.042	142.3522
3.300000	84.260	141.5052
3.350000	84.472	140.6709
3.400000	84.680	139.8463
3.450000	84.882	139.0320
3.500000	85.079	138.2292
3.550000	85.272	137.4389
3.600000	85.461	136.6619
3.650000	85.647	135.8983
3.700000	85.830	135.1464
3.750000	86.008	134.4037
3.820000	86.252	133.3787
3.870000	86.421	132.6582
3.950000	86.686	131.5273
4.000000	86.848	130.8350
4.060000	87.039	130.0179
4.120000	87.225	129.2133
4.180000	87.407	128.4199
4.250000	87.615	127.5091
4.310000	87.789	126.7414
4.370000	87.960	125.9857
4.440000	88.155	125.1182
4.500000	88.319	124.3848
4.550000	88.453	123.7805
4.620000	88.637	122.9454
4.680000	88.791	122.2401
4.750000	88.968	121.4292
4.820000	89.142	120.6300
4.870000	89.263	120.0653
4.940000	89.430	119.2834
5.000000	89.570	118.6216
5.080000	89.753	117.7516
5.150000	89.910	117.0017
5.220000	90.063	116.2606
5.300000	90.235	115.4239
5.380000	90.402	114.5989
5.450000	90.545	113.8876
5.520000	90.686	113.1855
5.600000	90.843	112.3929
5.700000	91.034	111.4163
5.800000	91.220	110.4572
5.900000	91.401	109.5162
6.000000	91.577	108.5906
6.080000	91.714	107.8610
6.150000	91.831	107.2313
6.220000	91.947	106.6099
6.300000	92.076	105.9092
6.400000	92.234	105.0458
6.500000	92.388	104.1971
6.600000	92.538	103.3640
6.700000	92.684	102.5450
6.800000	92.827	101.7391
6.900000	92.966	100.9470
7.000000	93.102	100.1685
7.100000	93.235	99.4024
7.200000	93.364	98.6483
7.300000	93.491	97.9067
7.400000	93.615	97.1770
7.500000	93.737	96.4583
7.620000	93.879	95.6103
7.750000	94.029	94.7094
7.880000	94.175	93.8253
8.000000	94.306	93.0238
8.120000	94.435	92.2361
8.250000	94.570	91.3971
8.380000	94.702	90.5725
8.500000	94.822	89.8236
8.620000	94.938	89.0858
8.750000	95.061	88.2985
8.850000	95.154	87.7011
9.000000	95.290	86.8176
9.120000	95.396	86.1215
9.250000	95.508	85.3777
9.380000	95.617	84.6442
9.500000	95.716	83.9765
9.620000	95.813	83.3175
9.750000	95.915	82.6131
9.880000	96.009	81.9189
10.000000	96.088	81.2872
10.150000	96.178	80.5094
10.300000	96.260	79.7451
10.440000	96.332	79.0434
10.600000	96.410	78.2552
