* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -17.7 dBFS, measurement signal peak level -17.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 22 ¿ÀÀü 2:00:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: AptX Adaptive 24/96 with BTD600 // Firmware 1.8.5; Delay -0.0770 ms (-26 mm, -1.04 in) using estimated IR delay relative to Acoustic reference played from refL.wav with no timing offset Clock adjustment: -15.4 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	39.189	-126.6042
1.015000	38.935	-130.6467
1.030000	38.726	-134.6383
1.044000	38.575	-138.3056
1.060000	38.460	-142.4133
1.075000	38.414	-146.1692
1.090000	38.432	-149.8187
1.106000	38.527	-153.6015
1.120000	38.674	-156.9348
1.138000	38.946	-161.2771
1.150000	39.175	-164.2003
1.172000	39.683	-169.6010
1.180000	39.895	-171.5737
1.206000	40.666	-177.9954
1.220000	41.129	178.5521
1.241000	41.875	173.4002
1.250000	42.210	171.2076
1.265000	42.787	167.5805
1.280000	43.382	163.9957
1.315000	44.810	155.8456
1.320000	45.016	154.7108
1.340000	45.839	150.2583
1.360000	46.650	145.9609
1.380000	47.437	141.8401
1.400000	48.190	137.9171
1.430000	49.229	132.4505
1.450000	49.844	129.1157
1.475000	50.515	125.3304
1.500000	51.138	121.9583
1.525000	51.733	118.9612
1.550000	52.302	116.3021
1.575000	52.847	113.9444
1.600000	53.369	111.8513
1.625000	53.872	109.9859
1.650000	54.358	108.3115
1.675000	54.827	106.7913
1.700000	55.284	105.3885
1.725000	55.729	104.0664
1.750000	56.166	102.7881
1.775000	56.595	101.5168
1.800000	57.020	100.2159
1.825000	57.443	98.8484
1.850000	57.861	97.4506
1.875000	58.264	96.1712
1.900000	58.654	95.0033
1.925000	59.032	93.9327
1.950000	59.398	92.9455
1.975000	59.753	92.0274
2.000000	60.099	91.1644
2.030000	60.503	90.1816
2.060000	60.897	89.2334
2.090000	61.282	88.2954
2.120000	61.661	87.3433
2.140000	61.911	86.6886
2.180000	62.406	85.2990
2.200000	62.652	84.5499
2.240000	63.134	82.9949
2.270000	63.484	81.8059
2.300000	63.826	80.6045
2.330000	64.160	79.3969
2.360000	64.486	78.1894
2.400000	64.911	76.5904
2.430000	65.223	75.4076
2.470000	65.631	73.8644
2.500000	65.933	72.7406
2.540000	66.330	71.2988
2.580000	66.722	69.9347
2.620000	67.105	68.6453
2.650000	67.385	67.7196
2.690000	67.752	66.5306
2.720000	68.021	65.6661
2.760000	68.374	64.5396
2.800000	68.720	63.4319
2.850000	69.143	62.0546
2.900000	69.559	60.6630
2.950000	69.967	59.2369
3.000000	70.366	57.7985
3.040000	70.678	56.6476
3.070000	70.907	55.7863
3.110000	71.209	54.6428
3.150000	71.504	53.5075
3.200000	71.868	52.1046
3.250000	72.224	50.7250
3.300000	72.574	49.3745
3.350000	72.918	48.0535
3.400000	73.253	46.7571
3.450000	73.581	45.4824
3.500000	73.902	44.2258
3.550000	74.217	42.9841
3.600000	74.526	41.7542
3.650000	74.830	40.5326
3.700000	75.129	39.3192
3.750000	75.421	38.1193
3.820000	75.819	36.4611
3.870000	76.097	35.2908
3.950000	76.531	33.4402
4.000000	76.797	32.2959
4.060000	77.110	30.9336
4.120000	77.415	29.5834
4.180000	77.713	28.2466
4.250000	78.052	26.7067
4.310000	78.336	25.4056
4.370000	78.614	24.1238
4.440000	78.933	22.6555
4.500000	79.199	21.4204
4.550000	79.416	20.4058
4.620000	79.713	19.0043
4.680000	79.963	17.8176
4.750000	80.249	16.4462
4.820000	80.528	15.0869
4.870000	80.724	14.1255
4.940000	80.992	12.7937
5.000000	81.217	11.6666
5.080000	81.510	10.1860
5.150000	81.762	8.9131
5.220000	82.008	7.6632
5.300000	82.283	6.2601
5.380000	82.551	4.8793
5.450000	82.780	3.6857
5.520000	83.006	2.5027
5.600000	83.258	1.1667
5.700000	83.564	-0.4777
5.800000	83.862	-2.0944
5.900000	84.152	-3.6838
6.000000	84.433	-5.2440
6.080000	84.653	-6.4728
6.150000	84.841	-7.5349
6.220000	85.025	-8.5859
6.300000	85.231	-9.7737
6.400000	85.482	-11.2368
6.500000	85.726	-12.6758
