* Measurement data measured by REW V5.30
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1
* Format: 256k Log Swept Sine, 1 sweep at -12.7 dBFS with no timing reference
* Dated: 2023. 12. 28 ¿ÀÀü 1:24:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Grey
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	58.346	42.9469
1.015000	58.758	43.0067
1.030000	59.163	43.0144
1.044000	59.532	42.9763
1.060000	59.942	42.8818
1.075000	60.313	42.7462
1.090000	60.670	42.5692
1.106000	61.037	42.3496
1.120000	61.352	42.1533
1.138000	61.749	41.9082
1.150000	62.010	41.7485
1.172000	62.481	41.4590
1.180000	62.650	41.3537
1.206000	63.190	41.0062
1.220000	63.476	40.8137
1.241000	63.898	40.5148
1.250000	64.076	40.3823
1.265000	64.370	40.1548
1.280000	64.661	39.9181
1.315000	65.326	39.3264
1.320000	65.419	39.2371
1.340000	65.789	38.8669
1.360000	66.153	38.4756
1.380000	66.512	38.0624
1.400000	66.866	37.6268
1.430000	67.388	36.9304
1.450000	67.730	36.4381
1.475000	68.151	35.8029
1.500000	68.562	35.1747
1.525000	68.962	34.5634
1.550000	69.351	33.9649
1.575000	69.732	33.3739
1.600000	70.103	32.7859
1.625000	70.465	32.1966
1.650000	70.820	31.6028
1.675000	71.168	31.0013
1.700000	71.510	30.3896
1.725000	71.845	29.7654
1.750000	72.175	29.1268
1.775000	72.501	28.4723
1.800000	72.822	27.8005
1.825000	73.140	27.1124
1.850000	73.453	26.4158
1.875000	73.759	25.7216
1.900000	74.059	25.0335
1.925000	74.352	24.3515
1.950000	74.640	23.6748
1.975000	74.921	23.0027
2.000000	75.197	22.3341
2.030000	75.522	21.5354
2.060000	75.841	20.7388
2.090000	76.153	19.9428
2.120000	76.460	19.1456
2.140000	76.662	18.6127
2.180000	77.060	17.5417
2.200000	77.256	17.0038
2.240000	77.641	15.9299
2.270000	77.922	15.1303
2.300000	78.197	14.3367
2.330000	78.465	13.5494
2.360000	78.729	12.7683
2.400000	79.072	11.7360
2.430000	79.324	10.9682
2.470000	79.653	9.9517
2.500000	79.896	9.1940
2.540000	80.214	8.1887
2.580000	80.526	7.1877
2.620000	80.831	6.1920
2.650000	81.054	5.4499
2.690000	81.345	4.4679
2.720000	81.558	3.7376
2.760000	81.837	2.7730
2.800000	82.109	1.8189
2.850000	82.443	0.6414
2.900000	82.768	-0.5202
2.950000	83.087	-1.6678
3.000000	83.397	-2.8048
3.040000	83.638	-3.7065
3.070000	83.816	-4.3774
3.110000	84.048	-5.2640
3.150000	84.275	-6.1409
3.200000	84.554	-7.2226
3.250000	84.826	-8.2881
3.300000	85.094	-9.3381
3.350000	85.355	-10.3758
3.400000	85.610	-11.4030
3.450000	85.858	-12.4189
3.500000	86.100	-13.4222
3.550000	86.338	-14.4122
3.600000	86.571	-15.3882
3.650000	86.799	-16.3505
3.700000	87.023	-17.3008
3.750000	87.243	-18.2414
3.820000	87.542	-19.5420
3.870000	87.750	-20.4585
3.950000	88.075	-21.9018
4.000000	88.274	-22.7892
4.060000	88.508	-23.8408
4.120000	88.736	-24.8804
4.180000	88.959	-25.9084
4.250000	89.213	-27.0923
4.310000	89.426	-28.0930
4.370000	89.635	-29.0806
4.440000	89.873	-30.2184
4.500000	90.072	-31.1836
4.550000	90.235	-31.9808
4.620000	90.458	-33.0848
4.680000	90.645	-34.0190
4.750000	90.859	-35.0948
4.820000	91.068	-36.1577
4.870000	91.214	-36.9105
4.940000	91.414	-37.9550
5.000000	91.582	-38.8401
5.080000	91.800	-40.0041
5.150000	91.987	-41.0080
5.220000	92.170	-42.0013
5.300000	92.373	-43.1244
5.380000	92.571	-44.2320
5.450000	92.740	-45.1868
5.520000	92.906	-46.1284
5.600000	93.090	-47.1918
5.700000	93.314	-48.5025
5.800000	93.531	-49.7888
5.900000	93.742	-51.0495
6.000000	93.947	-52.2893
6.080000	94.106	-53.2663
6.150000	94.242	-54.1093
6.220000	94.376	-54.9407
6.300000	94.526	-55.8780
6.400000	94.709	-57.0328
6.500000	94.886	-58.1682
6.600000	95.060	-59.2833
6.700000	95.229	-60.3801
6.800000	95.394	-61.4602
6.900000	95.554	-62.5232
7.000000	95.711	-63.5694
7.100000	95.865	-64.6007
7.200000	96.014	-65.6175
7.300000	96.160	-66.6195
7.400000	96.303	-67.6074
7.500000	96.443	-68.5827
7.620000	96.606	-69.7359
7.750000	96.777	-70.9639
7.880000	96.943	-72.1721
8.000000	97.093	-73.2692
8.120000	97.237	-74.3486
8.250000	97.390	-75.4999
8.380000	97.538	-76.6316
8.500000	97.671	-77.6586
8.620000	97.800	-78.6700
8.750000	97.936	-79.7477
8.850000	98.037	-80.5637
9.000000	98.186	-81.7683
9.120000	98.302	-82.7148
9.250000	98.424	-83.7232
9.380000	98.542	-84.7150
9.500000	98.649	-85.6158
9.620000	98.753	-86.5026
9.750000	98.863	-87.4485
9.880000	98.965	-88.3790
10.000000	99.051	-89.2245
10.150000	99.149	-90.2645
10.300000	99.239	-91.2854
10.440000	99.318	-92.2221
10.600000	99.404	-93.2739
10.750000	99.481	-94.2423
10.900000	99.556	-95.1946
11.060000	99.634	-96.1926
11.200000	99.699	-97.0518
11.380000	99.781	-98.1375
11.500000	99.833	-98.8499
11.720000	99.926	-100.1332
11.800000	99.958	-100.5928
12.060000	100.060	-102.0610
12.200000	100.112	-102.8358
12.410000	100.190	-103.9780
12.500000	100.226	-104.4601
12.650000	100.287	-105.2541
12.800000	100.349	-106.0360
13.150000	100.490	-107.8140
13.200000	100.509	-108.0627
