* Measurement data measured by REW V5.30
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1
* Format: 256k Log Swept Sine, 1 sweep at -12.7 dBFS with no timing reference
* Dated: 2023. 12. 28 ¿ÀÀü 1:44:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Grey Deep Insertion
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.758	44.4166
1.015000	61.145	44.2912
1.030000	61.525	44.1255
1.044000	61.872	43.9354
1.060000	62.260	43.6778
1.075000	62.613	43.3988
1.090000	62.956	43.0866
1.106000	63.311	42.7302
1.120000	63.615	42.4187
1.138000	63.999	42.0303
1.150000	64.250	41.7784
1.172000	64.704	41.3269
1.180000	64.866	41.1649
1.206000	65.385	40.6419
1.220000	65.658	40.3604
1.241000	66.062	39.9348
1.250000	66.233	39.7505
1.265000	66.514	39.4398
1.280000	66.792	39.1240
1.315000	67.426	38.3624
1.320000	67.515	38.2503
1.340000	67.868	37.7931
1.360000	68.216	37.3205
1.380000	68.559	36.8314
1.400000	68.897	36.3249
1.430000	69.397	35.5308
1.450000	69.725	34.9788
1.475000	70.130	34.2733
1.500000	70.525	33.5774
1.525000	70.911	32.9004
1.550000	71.288	32.2383
1.575000	71.655	31.5861
1.600000	72.014	30.9393
1.625000	72.365	30.2942
1.650000	72.709	29.6472
1.675000	73.046	28.9953
1.700000	73.377	28.3358
1.725000	73.702	27.6664
1.750000	74.022	26.9851
1.775000	74.338	26.2901
1.800000	74.650	25.5801
1.825000	74.958	24.8555
1.850000	75.261	24.1234
1.875000	75.558	23.3936
1.900000	75.849	22.6699
1.925000	76.134	21.9525
1.950000	76.413	21.2408
1.975000	76.687	20.5344
2.000000	76.955	19.8325
2.030000	77.271	18.9951
2.060000	77.580	18.1617
2.090000	77.884	17.3307
2.120000	78.182	16.5005
2.140000	78.379	15.9467
2.180000	78.766	14.8365
2.200000	78.957	14.2802
2.240000	79.330	13.1697
2.270000	79.604	12.3426
2.300000	79.871	11.5215
2.330000	80.132	10.7071
2.360000	80.388	9.8995
2.400000	80.721	8.8331
2.430000	80.966	8.0408
2.470000	81.287	6.9935
2.500000	81.523	6.2143
2.540000	81.832	5.1823
2.580000	82.135	4.1566
2.620000	82.431	3.1367
2.650000	82.648	2.3765
2.690000	82.931	1.3707
2.720000	83.138	0.6230
2.760000	83.409	-0.3642
2.800000	83.673	-1.3397
2.850000	83.997	-2.5422
2.900000	84.313	-3.7261
2.950000	84.623	-4.8939
3.000000	84.924	-6.0502
3.040000	85.158	-6.9669
3.070000	85.330	-7.6489
3.110000	85.555	-8.5497
3.150000	85.776	-9.4402
3.200000	86.046	-10.5377
3.250000	86.311	-11.6174
3.300000	86.571	-12.6800
3.350000	86.824	-13.7293
3.400000	87.071	-14.7674
3.450000	87.312	-15.7936
3.500000	87.548	-16.8066
3.550000	87.778	-17.8055
3.600000	88.004	-18.7897
3.650000	88.226	-19.7593
3.700000	88.444	-20.7163
3.750000	88.656	-21.6631
3.820000	88.947	-22.9716
3.870000	89.149	-23.8934
3.950000	89.464	-25.3442
4.000000	89.657	-26.2357
4.060000	89.884	-27.2917
4.120000	90.106	-28.3353
4.180000	90.323	-29.3672
4.250000	90.569	-30.5551
4.310000	90.776	-31.5587
4.370000	90.978	-32.5488
4.440000	91.209	-33.6889
4.500000	91.402	-34.6560
4.550000	91.560	-35.4546
4.620000	91.776	-36.5602
4.680000	91.957	-37.4953
4.750000	92.164	-38.5712
4.820000	92.366	-39.6335
4.870000	92.507	-40.3857
4.940000	92.700	-41.4289
5.000000	92.862	-42.3125
5.080000	93.073	-43.4732
5.150000	93.254	-44.4731
5.220000	93.429	-45.4616
5.300000	93.625	-46.5783
5.380000	93.815	-47.6786
5.450000	93.978	-48.6259
5.520000	94.137	-49.5589
5.600000	94.314	-50.6113
5.700000	94.529	-51.9068
5.800000	94.738	-53.1767
5.900000	94.940	-54.4194
6.000000	95.137	-55.6396
6.080000	95.290	-56.6003
6.150000	95.421	-57.4286
6.220000	95.549	-58.2452
6.300000	95.693	-59.1653
6.400000	95.869	-60.2979
6.500000	96.040	-61.4111
6.600000	96.206	-62.5043
6.700000	96.369	-63.5796
6.800000	96.527	-64.6384
6.900000	96.682	-65.6806
7.000000	96.833	-66.7066
7.100000	96.980	-67.7183
7.200000	97.124	-68.7159
7.300000	97.264	-69.6989
7.400000	97.401	-70.6683
7.500000	97.534	-71.6253
7.620000	97.690	-72.7564
7.750000	97.854	-73.9601
7.880000	98.012	-75.1436
8.000000	98.154	-76.2173
8.120000	98.292	-77.2723
8.250000	98.437	-78.3961
8.380000	98.577	-79.4996
8.500000	98.703	-80.4997
8.620000	98.826	-81.4837
8.750000	98.955	-82.5312
8.850000	99.052	-83.3240
9.000000	99.194	-84.4938
9.120000	99.305	-85.4131
9.250000	99.421	-86.3928
9.380000	99.535	-87.3570
9.500000	99.637	-88.2333
9.620000	99.738	-89.0970
9.750000	99.843	-90.0192
9.880000	99.941	-90.9274
10.000000	100.024	-91.7539
10.150000	100.117	-92.7714
10.300000	100.203	-93.7716
10.440000	100.277	-94.6901
10.600000	100.358	-95.7223
10.750000	100.432	-96.6733
10.900000	100.503	-97.6087
11.060000	100.576	-98.5894
11.200000	100.637	-99.4335
11.380000	100.714	-100.5001
11.500000	100.763	-101.1998
11.720000	100.850	-102.4595
11.800000	100.881	-102.9102
12.060000	100.976	-104.3491
12.200000	101.025	-105.1074
12.410000	101.099	-106.2239
12.500000	101.133	-106.6947
12.650000	101.191	-107.4694
12.800000	101.251	-108.2319
13.150000	101.387	-109.9655
13.200000	101.406	-110.2082
13.400000	101.480	-111.1675
13.600000	101.551	-112.1092
13.800000	101.620	-113.0346
14.000000	101.687	-113.9446
14.300000	101.782	-115.2820
14.500000	101.843	-116.1552
14.750000	101.914	-117.2253
15.000000	101.983	-118.2709
15.250000	102.047	-119.2911
15.500000	102.109	-120.2861
15.750000	102.169	-121.2571
16.000000	102.227	-122.2063
16.250000	102.285	-123.1367
16.500000	102.342	-124.0508
