* Measurement data measured by REW V5.30
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1
* Format: 256k Log Swept Sine, 1 sweep at -12.7 dBFS with no timing reference
* Dated: 2023. 12. 28 ¿ÀÀü 1:42:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Grey Shallow Insertion
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.618	42.5627
1.015000	61.007	42.5087
1.030000	61.389	42.4104
1.044000	61.738	42.2798
1.060000	62.128	42.0864
1.075000	62.482	41.8641
1.090000	62.824	41.6057
1.106000	63.178	41.3038
1.120000	63.482	41.0381
1.138000	63.865	40.7066
1.150000	64.117	40.4912
1.172000	64.571	40.1037
1.180000	64.734	39.9641
1.206000	65.255	39.5102
1.220000	65.530	39.2636
1.241000	65.936	38.8877
1.250000	66.108	38.7236
1.265000	66.392	38.4453
1.280000	66.672	38.1603
1.315000	67.312	37.4642
1.320000	67.402	37.3608
1.340000	67.759	36.9367
1.360000	68.110	36.4948
1.380000	68.456	36.0339
1.400000	68.798	35.5534
1.430000	69.302	34.7944
1.450000	69.633	34.2632
1.475000	70.041	33.5816
1.500000	70.439	32.9080
1.525000	70.827	32.2522
1.550000	71.205	31.6103
1.575000	71.575	30.9770
1.600000	71.936	30.3480
1.625000	72.289	29.7194
1.650000	72.635	29.0876
1.675000	72.974	28.4497
1.700000	73.307	27.8029
1.725000	73.634	27.1450
1.750000	73.956	26.4740
1.775000	74.274	25.7881
1.800000	74.587	25.0861
1.825000	74.897	24.3684
1.850000	75.202	23.6423
1.875000	75.501	22.9182
1.900000	75.793	22.1998
1.925000	76.079	21.4874
1.950000	76.360	20.7804
1.975000	76.635	20.0782
2.000000	76.904	19.3801
2.030000	77.222	18.5467
2.060000	77.532	17.7166
2.090000	77.837	16.8881
2.120000	78.137	16.0597
2.140000	78.334	15.5067
2.180000	78.723	14.3970
2.200000	78.915	13.8403
2.240000	79.290	12.7286
2.270000	79.564	11.8999
2.300000	79.832	11.0771
2.330000	80.094	10.2606
2.360000	80.351	9.4507
2.400000	80.686	8.3807
2.430000	80.931	7.5855
2.470000	81.252	6.5340
2.500000	81.489	5.7512
2.540000	81.799	4.7140
2.580000	82.103	3.6827
2.620000	82.400	2.6565
2.650000	82.617	1.8912
2.690000	82.900	0.8782
2.720000	83.107	0.1249
2.760000	83.378	-0.8698
2.800000	83.643	-1.8528
2.850000	83.967	-3.0646
2.900000	84.283	-4.2577
2.950000	84.592	-5.4347
3.000000	84.893	-6.6006
3.040000	85.127	-7.5253
3.070000	85.299	-8.2132
3.110000	85.524	-9.1222
3.150000	85.744	-10.0206
3.200000	86.014	-11.1277
3.250000	86.278	-12.2164
3.300000	86.537	-13.2873
3.350000	86.789	-14.3447
3.400000	87.035	-15.3910
3.450000	87.275	-16.4252
3.500000	87.510	-17.4461
3.550000	87.739	-18.4523
3.600000	87.964	-19.4432
3.650000	88.184	-20.4186
3.700000	88.401	-21.3808
3.750000	88.613	-22.3324
3.820000	88.901	-23.6472
3.870000	89.102	-24.5729
3.950000	89.416	-26.0294
4.000000	89.608	-26.9238
4.060000	89.834	-27.9825
4.120000	90.054	-29.0282
4.180000	90.270	-30.0616
4.250000	90.515	-31.2508
4.310000	90.721	-32.2555
4.370000	90.922	-33.2466
4.440000	91.153	-34.3877
4.500000	91.345	-35.3552
4.550000	91.503	-36.1540
4.620000	91.719	-37.2600
4.680000	91.900	-38.1959
4.750000	92.107	-39.2736
4.820000	92.309	-40.3383
4.870000	92.451	-41.0924
4.940000	92.644	-42.1386
5.000000	92.807	-43.0253
5.080000	93.019	-44.1918
5.150000	93.200	-45.1982
5.220000	93.376	-46.1942
5.300000	93.573	-47.3207
5.380000	93.765	-48.4321
5.450000	93.928	-49.3905
5.520000	94.089	-50.3360
5.600000	94.267	-51.4043
5.700000	94.483	-52.7216
5.800000	94.693	-54.0149
5.900000	94.896	-55.2828
6.000000	95.093	-56.5301
6.080000	95.246	-57.5134
6.150000	95.377	-58.3617
6.220000	95.505	-59.1982
6.300000	95.649	-60.1413
6.400000	95.824	-61.3032
6.500000	95.993	-62.4452
6.600000	96.159	-63.5659
6.700000	96.320	-64.6676
6.800000	96.476	-65.7519
6.900000	96.629	-66.8181
7.000000	96.778	-67.8660
7.100000	96.923	-68.8979
7.200000	97.064	-69.9142
7.300000	97.202	-70.9143
7.400000	97.337	-71.8991
7.500000	97.468	-72.8700
7.620000	97.622	-74.0165
7.750000	97.784	-75.2357
7.880000	97.940	-76.4336
8.000000	98.081	-77.5203
8.120000	98.218	-78.5889
8.250000	98.362	-79.7280
8.380000	98.502	-80.8477
