* Measurement data measured by REW V5.30
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1
* Format: 256k Log Swept Sine, 1 sweep at -12.7 dBFS with no timing reference
* Dated: 2023. 12. 28 ¿ÀÀü 1:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Red
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.923	42.5917
1.015000	61.297	42.4613
1.030000	61.664	42.2942
1.044000	62.001	42.1061
1.060000	62.378	41.8541
1.075000	62.722	41.5836
1.090000	63.058	41.2827
1.106000	63.406	40.9408
1.120000	63.705	40.6430
1.138000	64.083	40.2730
1.150000	64.331	40.0337
1.172000	64.779	39.6058
1.180000	64.939	39.4525
1.206000	65.451	38.9582
1.220000	65.722	38.6921
1.241000	66.121	38.2900
1.250000	66.290	38.1157
1.265000	66.569	37.8219
1.280000	66.844	37.5229
1.315000	67.473	36.8003
1.320000	67.561	36.6938
1.340000	67.912	36.2589
1.360000	68.257	35.8085
1.380000	68.597	35.3416
1.400000	68.933	34.8572
1.430000	69.430	34.0965
1.450000	69.756	33.5668
1.475000	70.159	32.8895
1.500000	70.552	32.2223
1.525000	70.936	31.5744
1.550000	71.311	30.9413
1.575000	71.678	30.3179
1.600000	72.036	29.6996
1.625000	72.386	29.0821
1.650000	72.730	28.4621
1.675000	73.067	27.8362
1.700000	73.398	27.2018
1.725000	73.724	26.5566
1.750000	74.044	25.8985
1.775000	74.360	25.2257
1.800000	74.672	24.5369
1.825000	74.981	23.8327
1.850000	75.284	23.1206
1.875000	75.582	22.4112
1.900000	75.874	21.7081
1.925000	76.159	21.0112
1.950000	76.439	20.3198
1.975000	76.714	19.6333
2.000000	76.983	18.9506
2.030000	77.300	18.1353
2.060000	77.611	17.3227
2.090000	77.916	16.5110
2.120000	78.217	15.6986
2.140000	78.414	15.1557
2.180000	78.803	14.0653
2.200000	78.995	13.5178
2.240000	79.371	12.4244
2.270000	79.645	11.6099
2.300000	79.914	10.8012
2.330000	80.177	9.9986
2.360000	80.435	9.2023
2.400000	80.771	8.1499
2.430000	81.017	7.3670
2.470000	81.340	6.3309
2.500000	81.578	5.5587
2.540000	81.889	4.5342
2.580000	82.195	3.5141
2.620000	82.493	2.4986
2.650000	82.711	1.7411
2.690000	82.996	0.7383
2.720000	83.204	-0.0077
2.760000	83.477	-0.9933
2.800000	83.743	-1.9679
2.850000	84.069	-3.1706
2.900000	84.387	-4.3562
2.950000	84.698	-5.5274
3.000000	85.001	-6.6888
3.040000	85.236	-7.6106
3.070000	85.409	-8.2967
3.110000	85.635	-9.2035
3.150000	85.857	-10.1002
3.200000	86.128	-11.2056
3.250000	86.393	-12.2932
3.300000	86.653	-13.3638
3.350000	86.907	-14.4215
3.400000	87.154	-15.4691
3.450000	87.394	-16.5052
3.500000	87.629	-17.5281
3.550000	87.859	-18.5364
3.600000	88.084	-19.5291
3.650000	88.305	-20.5060
3.700000	88.521	-21.4697
3.750000	88.733	-22.4231
3.820000	89.021	-23.7407
3.870000	89.221	-24.6683
3.950000	89.534	-26.1265
4.000000	89.725	-27.0210
4.060000	89.950	-28.0787
4.120000	90.170	-29.1229
4.180000	90.384	-30.1544
4.250000	90.628	-31.3405
4.310000	90.832	-32.3413
4.370000	91.032	-33.3273
4.440000	91.261	-34.4609
4.500000	91.452	-35.4208
4.550000	91.608	-36.2127
4.620000	91.822	-37.3081
4.680000	92.002	-38.2341
4.750000	92.207	-39.2990
4.820000	92.408	-40.3497
4.870000	92.549	-41.0930
4.940000	92.741	-42.1232
5.000000	92.903	-42.9957
5.080000	93.113	-44.1427
5.150000	93.294	-45.1316
5.220000	93.470	-46.1095
5.300000	93.666	-47.2145
5.380000	93.857	-48.3043
5.450000	94.020	-49.2439
5.520000	94.180	-50.1711
5.600000	94.359	-51.2183
5.700000	94.576	-52.5093
5.800000	94.786	-53.7772
5.900000	94.990	-55.0209
6.000000	95.188	-56.2449
6.080000	95.342	-57.2101
6.150000	95.474	-58.0432
6.220000	95.603	-58.8651
6.300000	95.748	-59.7921
6.400000	95.924	-60.9349
6.500000	96.095	-62.0586
6.600000	96.262	-63.1620
6.700000	96.424	-64.2471
6.800000	96.582	-65.3156
6.900000	96.736	-66.3666
7.000000	96.886	-67.3999
7.100000	97.033	-68.4176
7.200000	97.176	-69.4203
7.300000	97.315	-70.4072
7.400000	97.451	-71.3793
7.500000	97.584	-72.3378
7.620000	97.740	-73.4700
7.750000	97.903	-74.6745
7.880000	98.062	-75.8582
8.000000	98.204	-76.9326
8.120000	98.342	-77.9894
8.250000	98.488	-79.1164
8.380000	98.630	-80.2246
8.500000	98.757	-81.2310
8.620000	98.880	-82.2228
8.750000	99.011	-83.2804
8.850000	99.108	-84.0820
9.000000	99.251	-85.2666
9.120000	99.361	-86.1982
9.250000	99.478	-87.1917
9.380000	99.591	-88.1697
9.500000	99.693	-89.0582
9.620000	99.793	-89.9331
9.750000	99.897	-90.8665
9.880000	99.994	-91.7844
10.000000	100.075	-92.6183
10.150000	100.167	-93.6432
10.300000	100.251	-94.6486
10.440000	100.324	-95.5700
10.600000	100.404	-96.6038
10.750000	100.476	-97.5546
10.900000	100.546	-98.4886
11.060000	100.618	-99.4669
11.200000	100.679	-100.3085
11.380000	100.755	-101.3715
11.500000	100.805	-102.0689
11.720000	100.892	-103.3250
11.800000	100.922	-103.7749
12.060000	101.018	-105.2127
12.200000	101.068	-105.9721
12.410000	101.142	-107.0926
