* Measurement data measured by REW V5.30
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1
* Format: 256k Log Swept Sine, 1 sweep at -12.7 dBFS with no timing reference
* Dated: 2023. 12. 28 ¿ÀÀü 1:36:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Red
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	58.339	42.7456
1.015000	58.748	42.8388
1.030000	59.149	42.8781
1.044000	59.515	42.8681
1.060000	59.921	42.8039
1.075000	60.289	42.6952
1.090000	60.644	42.5436
1.106000	61.008	42.3498
1.120000	61.320	42.1752
1.138000	61.715	41.9566
1.150000	61.974	41.8140
1.172000	62.443	41.5541
1.180000	62.612	41.4590
1.206000	63.151	41.1431
1.220000	63.437	40.9664
1.241000	63.859	40.6898
1.250000	64.037	40.5663
1.265000	64.332	40.3531
1.280000	64.623	40.1300
1.315000	65.290	39.5669
1.320000	65.383	39.4813
1.340000	65.755	39.1253
1.360000	66.120	38.7469
1.380000	66.480	38.3456
1.400000	66.836	37.9206
1.430000	67.359	37.2384
1.450000	67.702	36.7544
1.475000	68.123	36.1287
1.500000	68.535	35.5095
1.525000	68.935	34.9072
1.550000	69.326	34.3172
1.575000	69.707	33.7344
1.600000	70.079	33.1539
1.625000	70.443	32.5716
1.650000	70.799	31.9840
1.675000	71.148	31.3879
1.700000	71.490	30.7808
1.725000	71.827	30.1604
1.750000	72.158	29.5248
1.775000	72.485	28.8723
1.800000	72.807	28.2018
1.825000	73.126	27.5142
1.850000	73.440	26.8176
1.875000	73.748	26.1236
1.900000	74.048	25.4357
1.925000	74.343	24.7539
1.950000	74.631	24.0774
1.975000	74.914	23.4052
2.000000	75.192	22.7363
2.030000	75.518	21.9367
2.060000	75.838	21.1388
2.090000	76.151	20.3407
2.120000	76.460	19.5407
2.140000	76.663	19.0055
2.180000	77.063	17.9288
2.200000	77.260	17.3876
2.240000	77.646	16.3067
2.270000	77.929	15.5017
2.300000	78.205	14.7028
2.330000	78.475	13.9101
2.360000	78.739	13.1234
2.400000	79.084	12.0832
2.430000	79.337	11.3091
2.470000	79.669	10.2837
2.500000	79.912	9.5188
2.540000	80.232	8.5031
2.580000	80.546	7.4909
2.620000	80.852	6.4834
2.650000	81.077	5.7321
2.690000	81.369	4.7378
2.720000	81.583	3.9982
2.760000	81.863	3.0209
2.800000	82.137	2.0540
2.850000	82.471	0.8601
2.900000	82.799	-0.3182
2.950000	83.118	-1.4833
3.000000	83.429	-2.6386
3.040000	83.671	-3.5552
3.070000	83.849	-4.2375
3.110000	84.082	-5.1393
3.150000	84.310	-6.0314
3.200000	84.589	-7.1319
3.250000	84.862	-8.2158
3.300000	85.130	-9.2839
3.350000	85.391	-10.3401
3.400000	85.646	-11.3862
3.450000	85.894	-12.4211
3.500000	86.136	-13.4432
3.550000	86.373	-14.4513
3.600000	86.605	-15.4446
3.650000	86.833	-16.4233
3.700000	87.056	-17.3894
3.750000	87.275	-18.3457
3.820000	87.572	-19.6680
3.870000	87.779	-20.5994
3.950000	88.102	-22.0646
4.000000	88.299	-22.9643
4.060000	88.531	-24.0291
4.120000	88.758	-25.0810
4.180000	88.979	-26.1206
4.250000	89.231	-27.3167
4.310000	89.441	-28.3265
4.370000	89.648	-29.3218
4.440000	89.884	-30.4665
4.500000	90.081	-31.4364
4.550000	90.242	-32.2367
4.620000	90.463	-33.3441
4.680000	90.648	-34.2803
4.750000	90.860	-35.3571
4.820000	91.067	-36.4197
4.870000	91.212	-37.1715
4.940000	91.410	-38.2136
5.000000	91.576	-39.0962
5.080000	91.794	-40.2565
5.150000	91.979	-41.2568
5.220000	92.161	-42.2459
5.300000	92.363	-43.3636
5.380000	92.560	-44.4659
5.450000	92.729	-45.4165
5.520000	92.894	-46.3546
5.600000	93.078	-47.4142
5.700000	93.302	-48.7207
5.800000	93.520	-50.0044
5.900000	93.731	-51.2646
6.000000	93.936	-52.5056
6.080000	94.096	-53.4847
6.150000	94.233	-54.3304
6.220000	94.367	-55.1655
6.300000	94.517	-56.1084
6.400000	94.700	-57.2717
6.500000	94.878	-58.4169
6.600000	95.051	-59.5429
6.700000	95.220	-60.6517
6.800000	95.384	-61.7449
6.900000	95.544	-62.8211
7.000000	95.699	-63.8802
7.100000	95.851	-64.9244
7.200000	95.999	-65.9537
7.300000	96.143	-66.9670
7.400000	96.284	-67.9649
7.500000	96.420	-68.9491
7.620000	96.580	-70.1111
7.750000	96.748	-71.3455
7.880000	96.911	-72.5572
8.000000	97.057	-73.6553
8.120000	97.199	-74.7332
8.250000	97.348	-75.8804
8.380000	97.493	-77.0062
8.500000	97.623	-78.0265
8.620000	97.750	-79.0303
8.750000	97.884	-80.0993
8.850000	97.985	-80.9088
9.000000	98.132	-82.1041
9.120000	98.247	-83.0442
9.250000	98.369	-84.0473
9.380000	98.487	-85.0355
9.500000	98.593	-85.9344
9.620000	98.698	-86.8212
9.750000	98.807	-87.7690
9.880000	98.909	-88.7029
10.000000	98.995	-89.5529
10.150000	99.092	-90.5999
10.300000	99.181	-91.6287
10.440000	99.259	-92.5729
10.600000	99.343	-93.6329
10.750000	99.419	-94.6079
10.900000	99.492	-95.5653
11.060000	99.567	-96.5668
11.200000	99.631	-97.4272
11.380000	99.710	-98.5121
11.500000	99.761	-99.2226
11.720000	99.851	-100.5002
11.800000	99.883	-100.9572
12.060000	99.983	-102.4166
12.200000	100.035	-103.1870
12.410000	100.113	-104.3240
12.500000	100.148	-104.8046
12.650000	100.209	-105.5973
12.800000	100.272	-106.3794
13.150000	100.413	-108.1638
13.200000	100.432	-108.4140
13.400000	100.507	-109.4031
13.600000	100.580	-110.3731
13.800000	100.649	-111.3240
14.000000	100.716	-112.2559
14.300000	100.811	-113.6195
14.500000	100.872	-114.5069
14.750000	100.945	-115.5937
15.000000	101.015	-116.6572
15.250000	101.082	-117.6988
15.500000	101.146	-118.7192
15.750000	101.208	-119.7187
