* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -10.2 dBFS, measurement signal peak level -3.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:48:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0638 ms (22 mm, 0.86 in) using estimated IR delay relative to Acoustic reference played from refR.wav with no timing offset Clock adjustment: -259.0 ppm
* Measurement: EQ Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.556	35.9662
1.015000	61.871	37.9770
1.030000	62.188	39.8958
1.044000	62.483	41.5925
1.060000	62.819	43.4070
1.075000	63.131	44.9745
1.090000	63.438	46.3999
1.106000	63.763	47.7606
1.120000	64.057	48.8715
1.138000	64.451	50.2101
1.150000	64.723	51.0474
1.172000	65.238	52.4714
1.180000	65.430	52.9543
1.206000	66.070	54.3987
1.220000	66.421	55.0994
1.241000	66.957	56.0528
1.250000	67.188	56.4264
1.265000	67.575	57.0036
1.280000	67.964	57.5253
1.315000	68.869	58.5359
1.320000	68.997	58.6574
1.340000	69.506	59.0888
1.360000	70.007	59.4354
1.380000	70.497	59.7007
1.400000	70.972	59.8885
1.430000	71.652	60.0328
1.450000	72.079	60.0428
1.475000	72.581	59.9479
1.500000	73.059	59.6021
1.525000	73.518	59.0032
1.550000	73.960	58.1859
1.575000	74.385	57.1853
1.600000	74.796	56.0362
1.625000	75.194	54.7737
1.650000	75.580	53.4325
1.675000	75.955	52.0476
1.700000	76.322	50.6539
1.725000	76.681	49.2864
1.750000	77.034	47.9799
1.775000	77.383	46.7694
1.800000	77.728	45.6898
1.825000	78.072	44.7760
1.850000	78.412	44.0258
1.875000	78.743	43.3621
1.900000	79.066	42.7709
1.925000	79.380	42.2414
1.950000	79.687	41.7627
1.975000	79.987	41.3240
2.000000	80.280	40.9146
2.030000	80.624	40.4466
2.060000	80.961	39.9865
2.090000	81.291	39.5156
2.120000	81.615	39.0153
2.140000	81.829	38.6561
2.180000	82.251	37.8515
2.200000	82.461	37.3952
2.240000	82.871	36.4032
2.270000	83.169	35.6102
2.300000	83.461	34.7840
2.330000	83.747	33.9324
2.360000	84.026	33.0634
2.400000	84.391	31.8912
2.430000	84.659	31.0122
2.470000	85.009	29.8552
2.500000	85.268	29.0091
2.540000	85.609	27.9246
2.580000	85.945	26.9027
2.620000	86.273	25.9153
2.650000	86.514	25.1910
2.690000	86.828	24.2451
2.720000	87.059	23.5494
2.760000	87.362	22.6386
2.800000	87.659	21.7449
2.850000	88.022	20.6488
2.900000	88.379	19.5722
2.950000	88.731	18.5141
3.000000	89.074	17.4961
3.040000	89.342	16.7078
3.070000	89.540	16.1276
3.110000	89.799	15.3641
3.150000	90.054	14.6063
3.200000	90.367	13.6579
3.250000	90.675	12.6971
3.300000	90.978	11.7118
3.350000	91.275	10.6935
3.400000	91.565	9.6508
3.450000	91.850	8.5971
3.500000	92.129	7.5457
3.550000	92.402	6.5101
3.600000	92.671	5.5036
3.650000	92.936	4.5396
3.700000	93.196	3.6292
3.750000	93.451	2.7664
3.820000	93.799	1.6147
3.870000	94.043	0.8150
3.950000	94.424	-0.4598
4.000000	94.657	-1.2734
4.060000	94.932	-2.2852
4.120000	95.201	-3.3285
4.180000	95.463	-4.3863
4.250000	95.763	-5.6171
4.310000	96.014	-6.6505
4.370000	96.262	-7.6467
4.440000	96.545	-8.7457
4.500000	96.783	-9.6426
4.550000	96.977	-10.3669
4.620000	97.244	-11.3577
4.680000	97.469	-12.1968
4.750000	97.727	-13.1788
4.820000	97.982	-14.1713
4.870000	98.160	-14.8795
4.940000	98.406	-15.8653
5.000000	98.614	-16.7004
5.080000	98.887	-17.7929
5.150000	99.124	-18.7222
5.220000	99.357	-19.6239
5.300000	99.619	-20.6286
5.380000	99.877	-21.6164
5.450000	100.101	-22.4753
5.520000	100.322	-23.3356
5.600000	100.572	-24.3114
5.700000	100.880	-25.5203
5.800000	101.182	-26.7241
5.900000	101.480	-27.9293
6.000000	101.773	-29.1330
6.080000	102.003	-30.0943
6.150000	102.202	-30.9346
6.220000	102.398	-31.7742
6.300000	102.617	-32.7330
6.400000	102.887	-33.9299
6.500000	103.150	-35.1255
6.600000	103.406	-36.3203
6.700000	103.656	-37.5195
6.800000	103.899	-38.7191
6.900000	104.135	-39.9088
7.000000	104.365	-41.0799
7.100000	104.588	-42.2369
7.200000	104.804	-43.3799
7.300000	105.016	-44.5067
7.400000	105.222	-45.6165
7.500000	105.423	-46.7107
7.620000	105.658	-48.0008
7.750000	105.908	-49.3660
7.880000	106.151	-50.6952
8.000000	106.370	-51.8998
8.120000	106.587	-53.0903
8.250000	106.818	-54.3584
8.380000	107.045	-55.6141
8.500000	107.252	-56.7698
8.620000	107.455	-57.9180
8.750000	107.671	-59.1597
8.850000	107.833	-60.1175
9.000000	108.072	-61.5556
9.120000	108.258	-62.7060
9.250000	108.454	-63.9533
9.380000	108.645	-65.2016
9.500000	108.815	-66.3478
9.620000	108.977	-67.4855
9.750000	109.146	-68.7108
9.880000	109.306	-69.9221
10.000000	109.444	-71.0253
10.150000	109.606	-72.3866
10.300000	109.759	-73.7262
10.440000	109.893	-74.9546
10.600000	110.041	-76.3414
10.750000	110.177	-77.6290
10.900000	110.309	-78.9053
11.060000	110.446	-80.2674
11.200000	110.565	-81.4580
11.380000	110.712	-82.9951
11.500000	110.807	-84.0268
11.720000	110.972	-85.9258
11.800000	111.028	-86.6186
12.060000	111.201	-88.8728
12.200000	111.287	-90.0779
12.410000	111.410	-91.8708
12.500000	111.461	-92.6269
12.650000	111.545	-93.8731
12.800000	111.626	-95.0978
13.150000	111.809	-97.8597
13.200000	111.834	-98.2451
13.400000	111.932	-99.7611
13.600000	112.028	-101.2525
13.800000	112.121	-102.7237
14.000000	112.212	-104.1890
14.300000	112.342	-106.3829
14.500000	112.424	-107.8500
14.750000	112.517	-109.6818
15.000000	112.599	-111.5061
15.250000	112.669	-113.3057
15.500000	112.729	-115.0646
15.750000	112.778	-116.7722
16.000000	112.820	-118.4160
16.250000	112.856	-119.9923
16.500000	112.889	-121.5012
16.750000	112.919	-122.9449
17.000000	112.948	-124.3333
17.250000	112.976	-125.6739
17.500000	113.004	-126.9763
17.750000	113.031	-128.2525
18.000000	113.056	-129.5071
18.250000	113.078	-130.7451
18.500000	113.096	-131.9652
18.750000	113.108	-133.1611
19.000000	113.113	-134.3269
