* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Custom Flat L, EQ Custom Flat L, EQ Custom Flat L
* Dated: 2023. 10. 26 ¿ÀÈÄ 8:45:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of EQ Custom Flat L, EQ Custom Flat L, EQ Custom Flat L
* Measurement: EQ Custom Flat L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	67.990
2.240000	68.280
2.270000	68.497
2.300000	68.715
2.330000	68.932
2.360000	69.150
2.400000	69.440
2.430000	69.658
2.470000	69.948
2.500000	70.165
2.540000	70.455
2.580000	70.756
2.620000	71.084
2.650000	71.338
2.690000	71.684
2.720000	71.947
2.760000	72.299
2.800000	72.646
2.850000	73.070
2.900000	73.473
2.950000	73.847
3.000000	74.198
3.040000	74.466
3.070000	74.660
3.110000	74.913
3.150000	75.161
3.200000	75.465
3.250000	75.768
3.300000	76.073
3.350000	76.379
3.400000	76.680
3.450000	76.979
3.500000	77.273
3.550000	77.563
3.600000	77.849
3.650000	78.129
3.700000	78.404
3.750000	78.674
3.820000	79.043
3.870000	79.301
3.950000	79.708
4.000000	79.958
4.060000	80.255
4.120000	80.546
4.180000	80.833
4.250000	81.162
4.310000	81.439
4.370000	81.714
4.440000	82.031
4.500000	82.299
4.550000	82.519
4.620000	82.824
4.680000	83.082
4.750000	83.380
4.820000	83.674
4.870000	83.882
4.940000	84.170
5.000000	84.414
5.080000	84.736
5.150000	85.014
5.220000	85.289
5.300000	85.599
5.380000	85.904
5.450000	86.167
5.520000	86.426
5.600000	86.718
5.700000	87.075
5.800000	87.424
5.900000	87.764
6.000000	88.095
6.080000	88.354
6.150000	88.575
6.220000	88.793
6.300000	89.036
6.400000	89.332
6.500000	89.619
6.600000	89.900
6.700000	90.173
6.800000	90.438
6.900000	90.698
7.000000	90.953
7.100000	91.203
7.200000	91.448
7.300000	91.690
7.400000	91.930
7.500000	92.167
7.620000	92.448
7.750000	92.750
7.880000	93.049
8.000000	93.322
8.120000	93.592
8.250000	93.881
8.380000	94.165
8.500000	94.420
8.620000	94.671
8.750000	94.935
8.850000	95.132
9.000000	95.418
9.120000	95.639
9.250000	95.871
9.380000	96.095
9.500000	96.295
9.620000	96.487
9.750000	96.688
9.880000	96.882
10.000000	97.053
10.150000	97.259
10.300000	97.461
10.440000	97.644
10.600000	97.852
10.750000	98.048
10.900000	98.243
11.060000	98.449
11.200000	98.629
11.380000	98.853
11.500000	98.998
11.720000	99.251
11.800000	99.338
12.060000	99.603
12.200000	99.736
12.410000	99.925
12.500000	100.005
12.650000	100.134
12.800000	100.262
13.150000	100.564
13.200000	100.609
13.400000	100.789
13.600000	100.976
13.800000	101.172
14.000000	101.373
14.300000	101.682
14.500000	101.887
14.750000	102.130
15.000000	102.355
15.250000	102.555
15.500000	102.727
15.750000	102.870
16.000000	102.986
16.250000	103.078
16.500000	103.147
16.750000	103.195
17.000000	103.225
17.250000	103.240
17.500000	103.241
17.750000	103.232
18.000000	103.217
18.250000	103.200
18.500000	103.185
18.750000	103.176
19.000000	103.177
19.250000	103.188
19.500000	103.212
19.750000	103.249
20.000000	103.298
20.299999	103.371
20.600000	103.457
20.900000	103.555
21.200001	103.659
21.400000	103.731
21.799999	103.876
22.000000	103.948
22.400000	104.088
22.700001	104.189
23.000000	104.285
23.299999	104.374
23.600000	104.454
24.000000	104.540
24.299999	104.585
24.700001	104.620
25.000000	104.629
25.400000	104.625
25.799999	104.609
26.200001	104.588
26.500000	104.569
26.900000	104.542
27.200001	104.520
27.600000	104.491
28.000000	104.464
28.500000	104.435
29.000000	104.411
29.500000	104.393
