* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -14.7 dBFS, measurement signal peak level -11.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:55:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0086 ms (3.0 mm, 0.12 in) using estimated IR delay relative to Acoustic reference played from refR.wav with no timing offset Clock adjustment: -134.6 ppm
* Measurement: EQ Custom Flat R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.969	41.1765
1.015000	49.121	43.1718
1.030000	49.283	45.0934
1.044000	49.444	46.8105
1.060000	49.639	48.6706
1.075000	49.833	50.3040
1.090000	50.038	51.8192
1.106000	50.271	53.3042
1.120000	50.495	54.5522
1.138000	50.810	56.1043
1.150000	51.036	57.1056
1.172000	51.480	58.8707
1.180000	51.651	59.4896
1.206000	52.232	61.4148
1.220000	52.560	62.3960
1.241000	53.068	63.7936
1.250000	53.290	64.3650
1.265000	53.666	65.2799
1.280000	54.047	66.1476
1.315000	54.944	67.9849
1.320000	55.072	68.2256
1.340000	55.582	69.1332
1.360000	56.084	69.9511
1.380000	56.576	70.6778
1.400000	57.051	71.3118
1.430000	57.726	72.0857
1.450000	58.145	72.4813
1.475000	58.627	72.8264
1.500000	59.087	72.9122
1.525000	59.531	72.7445
1.550000	59.959	72.3559
1.575000	60.374	71.7789
1.600000	60.775	71.0459
1.625000	61.165	70.1895
1.650000	61.545	69.2423
1.675000	61.915	68.2366
1.700000	62.277	67.2051
1.725000	62.632	66.1802
1.750000	62.981	65.1945
1.775000	63.325	64.2804
1.800000	63.666	63.4704
1.825000	64.004	62.7972
1.850000	64.338	62.2530
1.875000	64.663	61.7553
1.900000	64.980	61.2945
1.925000	65.289	60.8645
1.950000	65.591	60.4594
1.975000	65.887	60.0735
2.000000	66.176	59.7007
2.030000	66.515	59.2623
2.060000	66.847	58.8241
2.090000	67.173	58.3758
2.120000	67.493	57.9073
2.140000	67.704	57.5786
2.180000	68.121	56.8685
2.200000	68.328	56.4810
2.240000	68.732	55.6515
2.270000	69.027	54.9926
2.300000	69.315	54.3089
2.330000	69.598	53.6062
2.360000	69.874	52.8903
2.400000	70.234	51.9254
2.430000	70.499	51.2017
2.470000	70.846	50.2479
2.500000	71.103	49.5484
2.540000	71.440	48.6482
2.580000	71.774	47.7939
2.620000	72.099	46.9611
2.650000	72.338	46.3463
2.690000	72.650	45.5397
2.720000	72.880	44.9449
2.760000	73.180	44.1658
2.800000	73.476	43.4028
2.850000	73.838	42.4724
2.900000	74.195	41.5686
2.950000	74.547	40.6943
3.000000	74.891	39.8641
3.040000	75.161	39.2276
3.070000	75.359	38.7627
3.110000	75.621	38.1545
3.150000	75.879	37.5546
3.200000	76.196	36.8072
3.250000	76.509	36.0520
3.300000	76.818	35.2777
3.350000	77.123	34.4799
3.400000	77.422	33.6672
3.450000	77.717	32.8493
3.500000	78.006	32.0357
3.550000	78.292	31.2361
3.600000	78.574	30.4600
3.650000	78.853	29.7171
3.700000	79.129	29.0168
3.750000	79.400	28.3576
3.820000	79.775	27.4818
3.870000	80.038	26.8740
3.950000	80.452	25.9000
4.000000	80.707	25.2720
4.060000	81.009	24.4827
4.120000	81.306	23.6645
4.180000	81.599	22.8306
4.250000	81.934	21.8532
4.310000	82.217	21.0248
