* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Strong L, EQ Strong L, EQ Strong L
* Dated: 2023. 10. 26 ¿ÀÈÄ 8:40:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of EQ Strong L, EQ Strong L, EQ Strong L
* Measurement: EQ Powerful L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	79.833
2.240000	80.152
2.270000	80.391
2.300000	80.630
2.330000	80.870
2.360000	81.109
2.400000	81.428
2.430000	81.667
2.470000	81.987
2.500000	82.226
2.540000	82.545
2.580000	82.871
2.620000	83.218
2.650000	83.485
2.690000	83.847
2.720000	84.120
2.760000	84.484
2.800000	84.842
2.850000	85.276
2.900000	85.687
2.950000	86.067
3.000000	86.419
3.040000	86.686
3.070000	86.878
3.110000	87.127
3.150000	87.369
3.200000	87.665
3.250000	87.960
3.300000	88.256
3.350000	88.552
3.400000	88.844
3.450000	89.131
3.500000	89.413
3.550000	89.690
3.600000	89.963
3.650000	90.229
3.700000	90.491
3.750000	90.747
3.820000	91.095
3.870000	91.339
3.950000	91.720
4.000000	91.954
4.060000	92.231
4.120000	92.502
4.180000	92.767
4.250000	93.070
4.310000	93.325
4.370000	93.575
4.440000	93.862
4.500000	94.102
4.550000	94.299
4.620000	94.570
4.680000	94.797
4.750000	95.057
4.820000	95.312
4.870000	95.490
4.940000	95.735
5.000000	95.941
5.080000	96.210
5.150000	96.441
5.220000	96.666
5.300000	96.919
5.380000	97.165
5.450000	97.377
5.520000	97.585
5.600000	97.818
5.700000	98.101
5.800000	98.378
5.900000	98.650
6.000000	98.915
6.080000	99.123
6.150000	99.302
6.220000	99.479
6.300000	99.678
6.400000	99.923
6.500000	100.164
6.600000	100.401
6.700000	100.635
6.800000	100.864
6.900000	101.091
7.000000	101.314
7.100000	101.535
7.200000	101.752
7.300000	101.966
7.400000	102.178
7.500000	102.387
7.620000	102.634
7.750000	102.898
7.880000	103.158
8.000000	103.393
8.120000	103.625
8.250000	103.872
8.380000	104.115
8.500000	104.335
8.620000	104.550
8.750000	104.779
8.850000	104.950
9.000000	105.201
9.120000	105.395
9.250000	105.600
9.380000	105.798
9.500000	105.974
9.620000	106.141
9.750000	106.314
9.880000	106.476
10.000000	106.614
10.150000	106.772
10.300000	106.920
10.440000	107.047
10.600000	107.183
10.750000	107.307
10.900000	107.427
11.060000	107.554
11.200000	107.664
11.380000	107.806
11.500000	107.900
11.720000	108.074
11.800000	108.137
12.060000	108.339
12.200000	108.447
12.410000	108.606
12.500000	108.672
12.650000	108.782
12.800000	108.888
13.150000	109.109
13.200000	109.138
13.400000	109.242
13.600000	109.335
13.800000	109.416
14.000000	109.489
14.300000	109.586
14.500000	109.646
14.750000	109.718
15.000000	109.789
15.250000	109.859
15.500000	109.927
15.750000	109.993
16.000000	110.056
16.250000	110.115
16.500000	110.169
16.750000	110.218
17.000000	110.259
17.250000	110.294
17.500000	110.322
17.750000	110.343
18.000000	110.357
18.250000	110.366
18.500000	110.370
18.750000	110.371
19.000000	110.371
19.250000	110.372
19.500000	110.377
19.750000	110.386
20.000000	110.400
20.299999	110.424
20.600000	110.454
20.900000	110.489
21.200001	110.526
21.400000	110.552
21.799999	110.602
22.000000	110.626
22.400000	110.673
22.700001	110.704
23.000000	110.732
23.299999	110.755
23.600000	110.774
24.000000	110.793
24.299999	110.803
24.700001	110.814
25.000000	110.822
25.400000	110.836
25.799999	110.857
26.200001	110.884
26.500000	110.909
26.900000	110.947
27.200001	110.976
27.600000	111.016
28.000000	111.054
28.500000	111.101
29.000000	111.146
29.500000	111.188
30.000000	111.219
30.400000	111.236
30.700001	111.245
31.100000	111.251
31.500000	111.255
32.000000	111.258
32.500000	111.265
33.000000	111.283
33.500000	111.312
34.000000	111.338
34.500000	111.347
35.000000	111.332
35.500000	111.299
36.000000	111.263
36.500000	111.230
37.000000	111.198
37.500000	111.163
38.200001	111.107
38.700001	111.067
39.500000	111.003
40.000000	110.961
40.599998	110.912
41.200001	110.874
41.799999	110.851
42.500000	110.830
43.099998	110.805
43.700001	110.768
44.400002	110.721
45.000000	110.682
45.500000	110.649
46.200001	110.604
46.799999	110.570
47.500000	110.538
48.200001	110.509
48.700001	110.486
49.400002	110.451
50.000000	110.419
50.799999	110.374
51.500000	110.334
52.200001	110.295
53.000000	110.252
53.799999	110.212
54.500000	110.179
55.200001	110.147
56.000000	110.114
57.000000	110.076
58.000000	110.039
59.000000	110.004
60.000000	109.972
60.799999	109.949
61.500000	109.931
62.200001	109.916
63.000000	109.903
64.000000	109.897
65.000000	109.896
66.000000	109.897
67.000000	109.897
68.000000	109.897
69.000000	109.895
70.000000	109.891
71.000000	109.886
72.000000	109.881
73.000000	109.877
74.000000	109.872
75.000000	109.864
76.199997	109.848
77.500000	109.826
78.800003	109.800
80.000000	109.772
81.199997	109.735
82.500000	109.678
83.800003	109.603
85.000000	109.518
86.199997	109.421
87.500000	109.302
88.500000	109.197
90.000000	109.016
91.199997	108.848
92.500000	108.644
93.800003	108.418
95.000000	108.191
96.199997	107.948
97.500000	107.665
98.800003	107.362
100.000000	107.069
101.500000	106.683
103.000000	106.278
104.400002	105.885
106.000000	105.425
107.500000	104.991
109.000000	104.560
110.599998	104.107
112.000000	103.722
113.800003	103.248
115.000000	102.947
117.199997	102.423
118.000000	102.241
120.599998	101.681
122.000000	101.413
124.099998	101.047
125.000000	100.903
126.500000	100.683
128.000000	100.489
131.500000	100.108
132.000000	100.060
134.000000	99.888
136.000000	99.745
138.000000	99.622
140.000000	99.514
143.000000	99.378
145.000000	99.305
147.500000	99.223
150.000000	99.147
152.500000	99.086
155.000000	99.042
157.500000	99.017
160.000000	98.996
162.500000	98.968
165.000000	98.933
167.500000	98.887
170.000000	98.839
172.500000	98.796
175.000000	98.757
177.500000	98.714
180.000000	98.668
182.500000	98.622
185.000000	98.577
187.500000	98.530
190.000000	98.480
192.500000	98.431
195.000000	98.382
197.500000	98.334
200.000000	98.289
203.000000	98.235
206.000000	98.181
209.000000	98.127
212.000000	98.076
214.000000	98.043
218.000000	97.979
220.000000	97.946
224.000000	97.877
227.000000	97.822
230.000000	97.765
233.000000	97.707
236.000000	97.648
240.000000	97.568
243.000000	97.511
247.000000	97.440
250.000000	97.388
254.000000	97.316
258.000000	97.243
262.000000	97.170
265.000000	97.116
269.000000	97.042
272.000000	96.984
276.000000	96.902
280.000000	96.818
285.000000	96.711
290.000000	96.608
295.000000	96.509
300.000000	96.415
304.000000	96.341
307.000000	96.285
311.000000	96.211
315.000000	96.136
320.000000	96.045
325.000000	95.960
330.000000	95.877
335.000000	95.795
340.000000	95.713
345.000000	95.632
350.000000	95.552
355.000000	95.472
360.000000	95.392
365.000000	95.312
370.000000	95.233
375.000000	95.157
382.000000	95.052
387.000000	94.978
395.000000	94.864
400.000000	94.792
406.000000	94.706
412.000000	94.623
418.000000	94.541
425.000000	94.455
431.000000	94.383
437.000000	94.309
444.000000	94.230
450.000000	94.165
455.000000	94.110
462.000000	94.038
468.000000	93.980
475.000000	93.916
482.000000	93.857
487.000000	93.819
494.000000	93.768
500.000000	93.729
508.000000	93.681
515.000000	93.644
522.000000	93.610
530.000000	93.576
538.000000	93.545
545.000000	93.522
552.000000	93.503
560.000000	93.485
570.000000	93.466
580.000000	93.452
590.000000	93.442
600.000000	93.438
608.000000	93.439
615.000000	93.443
622.000000	93.449
630.000000	93.458
640.000000	93.472
650.000000	93.490
660.000000	93.511
670.000000	93.537
680.000000	93.566
690.000000	93.591
700.000000	93.616
710.000000	93.645
720.000000	93.670
730.000000	93.690
740.000000	93.710
750.000000	93.738
762.000000	93.783
775.000000	93.835
788.000000	93.884
800.000000	93.924
812.000000	93.960
825.000000	93.999
838.000000	94.040
850.000000	94.081
862.000000	94.124
875.000000	94.175
885.000000	94.217
900.000000	94.282
912.000000	94.346
925.000000	94.428
938.000000	94.508
950.000000	94.573
962.000000	94.632
975.000000	94.698
988.000000	94.775
1000.000000	94.844
1015.000000	94.915
1030.000000	94.979
1044.000000	95.040
1060.000000	95.113
1075.000000	95.182
1090.000000	95.253
1106.000000	95.331
1120.000000	95.401
1138.000000	95.490
1150.000000	95.548
1172.000000	95.652
1180.000000	95.689
1206.000000	95.806
1220.000000	95.868
1241.000000	95.963
1250.000000	96.007
1265.000000	96.088
1280.000000	96.174
1315.000000	96.372
1320.000000	96.400
1340.000000	96.509
1360.000000	96.616
1380.000000	96.723
1400.000000	96.830
1430.000000	96.988
1450.000000	97.096
1475.000000	97.232
1500.000000	97.373
1525.000000	97.520
1550.000000	97.673
1575.000000	97.834
1600.000000	98.006
1625.000000	98.190
1650.000000	98.384
1675.000000	98.588
1700.000000	98.799
1725.000000	99.017
1750.000000	99.241
1775.000000	99.468
1800.000000	99.697
1825.000000	99.927
1850.000000	100.154
1875.000000	100.377
1900.000000	100.595
1925.000000	100.805
1950.000000	101.006
1975.000000	101.198
2000.000000	101.382
2030.000000	101.593
2060.000000	101.798
2090.000000	102.002
2120.000000	102.208
2140.000000	102.346
2180.000000	102.609
2200.000000	102.728
2240.000000	102.934
2270.000000	103.063
2300.000000	103.174
2330.000000	103.271
2360.000000	103.363
