* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -6.7 dBFS, measurement signal peak level -5.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:49:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0739 ms (-25 mm, -1 in) using estimated IR delay relative to Acoustic reference played from refR.wav with no timing offset Clock adjustment: -130.9 ppm
* Measurement: EQ Powerful R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	54.728	18.3113
1.015000	55.277	21.9043
1.030000	55.819	25.3460
1.044000	56.313	28.4013
1.060000	56.862	31.6823
1.075000	57.357	34.5300
1.090000	57.829	37.1328
1.106000	58.309	39.6374
1.120000	58.731	41.7237
1.138000	59.283	44.2988
1.150000	59.656	45.9476
1.172000	60.349	48.8274
1.180000	60.602	49.8280
1.206000	61.433	52.9061
1.220000	61.883	54.4517
1.241000	62.558	56.6209
1.250000	62.847	57.4951
1.265000	63.328	58.8772
1.280000	63.806	60.1648
1.315000	64.907	62.7949
1.320000	65.062	63.1272
1.340000	65.675	64.3465
1.360000	66.274	65.3876
1.380000	66.858	66.2478
1.400000	67.425	66.9245
1.430000	68.235	67.5894
1.450000	68.746	67.7954
1.475000	69.349	67.7499
1.500000	69.917	67.1147
1.525000	70.456	65.9029
1.550000	70.968	64.2001
1.575000	71.454	62.0920
1.600000	71.919	59.6640
1.625000	72.363	57.0019
1.650000	72.791	54.1911
1.675000	73.203	51.3173
1.700000	73.604	48.4659
1.725000	73.994	45.7227
1.750000	74.378	43.1732
1.775000	74.757	40.9029
1.800000	75.133	38.9974
1.825000	75.510	37.5423
1.850000	75.885	36.5486
1.875000	76.249	35.8600
1.900000	76.601	35.4314
1.925000	76.943	35.2240
1.950000	77.275	35.1990
1.975000	77.598	35.3177
2.000000	77.913	35.5414
2.030000	78.281	35.8938
2.060000	78.641	36.2745
2.090000	78.992	36.6166
2.120000	79.337	36.8530
2.140000	79.563	36.9189
2.180000	80.012	36.7412
2.200000	80.234	36.4587
2.240000	80.669	35.6246
2.270000	80.984	34.8373
2.300000	81.291	33.9380
2.330000	81.590	32.9506
2.360000	81.883	31.8992
2.400000	82.263	30.4392
2.430000	82.542	29.3317
2.470000	82.906	27.8840
2.500000	83.174	26.8511
2.540000	83.526	25.5898
2.580000	83.874	24.4991
2.620000	84.212	23.4915
2.650000	84.459	22.7709
2.690000	84.781	21.8527
2.720000	85.017	21.1932
2.760000	85.325	20.3486
2.800000	85.626	19.5390
2.850000	85.995	18.5685
2.900000	86.357	17.6348
2.950000	86.712	16.7370
3.000000	87.058	15.9385
3.040000	87.328	15.3616
3.070000	87.526	14.9526
3.110000	87.786	14.4237
3.150000	88.041	13.8962
3.200000	88.354	13.2098
3.250000	88.661	12.4591
3.300000	88.964	11.6070
3.350000	89.260	10.6230
3.400000	89.549	9.5335
3.450000	89.833	8.3829
3.500000	90.110	7.2159
3.550000	90.382	6.0768
3.600000	90.649	5.0102
3.650000	90.913	4.0606
3.700000	91.172	3.2644
3.750000	91.426	2.6023
3.820000	91.774	1.8208
3.870000	92.016	1.3097
3.950000	92.397	0.4577
4.000000	92.630	-0.1615
4.060000	92.905	-1.0536
4.120000	93.174	-2.0809
4.180000	93.437	-3.1896
4.250000	93.738	-4.5175
4.310000	93.991	-5.6263
4.370000	94.239	-6.6538
4.440000	94.523	-7.6982
4.500000	94.761	-8.4908
4.550000	94.956	-9.1055
4.620000	95.224	-9.9342
4.680000	95.449	-10.6507
4.750000	95.707	-11.5399
4.820000	95.960	-12.5132
4.870000	96.137	-13.2408
4.940000	96.380	-14.2822
5.000000	96.585	-15.1766
5.080000	96.854	-16.3393
5.150000	97.084	-17.2999
5.220000	97.311	-18.2137
5.300000	97.564	-19.2216
5.380000	97.811	-20.2076
5.450000	98.025	-21.0664
5.520000	98.236	-21.9323
5.600000	98.472	-22.9214
5.700000	98.762	-24.1492
5.800000	99.045	-25.3653
5.900000	99.325	-26.5674
6.000000	99.599	-27.7586
