* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Treble L, EQ Treble L, EQ Treble L
* Dated: 2023. 10. 26 ¿ÀÈÄ 8:42:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of EQ Treble L, EQ Treble L, EQ Treble L
* Measurement: EQ Treble L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	76.165
2.240000	76.459
2.270000	76.679
2.300000	76.900
2.330000	77.120
2.360000	77.341
2.400000	77.635
2.430000	77.856
2.470000	78.150
2.500000	78.370
2.540000	78.665
2.580000	78.968
2.620000	79.294
2.650000	79.547
2.690000	79.890
2.720000	80.150
2.760000	80.497
2.800000	80.839
2.850000	81.254
2.900000	81.647
2.950000	82.009
3.000000	82.347
3.040000	82.602
3.070000	82.787
3.110000	83.026
3.150000	83.259
3.200000	83.544
3.250000	83.827
3.300000	84.113
3.350000	84.398
3.400000	84.680
3.450000	84.957
3.500000	85.230
3.550000	85.498
3.600000	85.761
3.650000	86.019
3.700000	86.272
3.750000	86.519
3.820000	86.857
3.870000	87.092
3.950000	87.462
4.000000	87.688
4.060000	87.957
4.120000	88.221
4.180000	88.479
4.250000	88.775
4.310000	89.024
4.370000	89.270
4.440000	89.552
4.500000	89.790
4.550000	89.985
4.620000	90.254
4.680000	90.481
4.750000	90.742
4.820000	90.998
4.870000	91.178
4.940000	91.427
5.000000	91.636
5.080000	91.911
5.150000	92.147
5.220000	92.380
5.300000	92.641
5.380000	92.896
5.450000	93.116
5.520000	93.332
5.600000	93.574
5.700000	93.869
5.800000	94.158
5.900000	94.439
6.000000	94.713
6.080000	94.927
6.150000	95.111
6.220000	95.292
6.300000	95.495
6.400000	95.743
6.500000	95.986
6.600000	96.224
6.700000	96.457
6.800000	96.684
6.900000	96.908
7.000000	97.129
7.100000	97.345
7.200000	97.559
7.300000	97.769
7.400000	97.977
7.500000	98.182
7.620000	98.424
7.750000	98.682
7.880000	98.935
8.000000	99.164
8.120000	99.389
8.250000	99.628
8.380000	99.860
8.500000	100.069
8.620000	100.273
8.750000	100.487
8.850000	100.648
9.000000	100.881
9.120000	101.063
9.250000	101.255
9.380000	101.443
9.500000	101.613
9.620000	101.778
9.750000	101.952
9.880000	102.120
10.000000	102.270
10.150000	102.449
10.300000	102.623
10.440000	102.780
10.600000	102.954
10.750000	103.114
10.900000	103.270
11.060000	103.432
11.200000	103.568
11.380000	103.735
11.500000	103.841
11.720000	104.022
11.800000	104.083
12.060000	104.269
12.200000	104.363
12.410000	104.496
12.500000	104.553
12.650000	104.646
12.800000	104.737
13.150000	104.942
13.200000	104.970
13.400000	105.078
13.600000	105.180
13.800000	105.275
14.000000	105.363
14.300000	105.479
14.500000	105.546
14.750000	105.620
15.000000	105.686
15.250000	105.747
15.500000	105.808
15.750000	105.871
16.000000	105.941
16.250000	106.018
16.500000	106.102
16.750000	106.192
17.000000	106.283
17.250000	106.373
17.500000	106.459
17.750000	106.537
18.000000	106.605
18.250000	106.660
18.500000	106.700
18.750000	106.724
19.000000	106.731
19.250000	106.724
19.500000	106.702
19.750000	106.669
20.000000	106.628
20.299999	106.572
20.600000	106.515
20.900000	106.460
21.200001	106.411
21.400000	106.383
21.799999	106.337
22.000000	106.320
22.400000	106.297
22.700001	106.290
23.000000	106.293
23.299999	106.305
23.600000	106.325
24.000000	106.364
24.299999	106.400
24.700001	106.456
25.000000	106.504
25.400000	106.576
25.799999	106.654
26.200001	106.735
26.500000	106.793
26.900000	106.864
27.200001	106.911
27.600000	106.965
28.000000	107.014
28.500000	107.066
29.000000	107.106
29.500000	107.130
30.000000	107.137
30.400000	107.133
30.700001	107.123
31.100000	107.100
31.500000	107.064
32.000000	107.006
32.500000	106.954
33.000000	106.931
33.500000	106.937
34.000000	106.947
34.500000	106.933
35.000000	106.887
35.500000	106.825
36.000000	106.766
36.500000	106.717
37.000000	106.674
37.500000	106.626
38.200001	106.546
38.700001	106.488
39.500000	106.403
40.000000	106.353
40.599998	106.297
41.200001	106.252
41.799999	106.220
42.500000	106.187
43.099998	106.147
43.700001	106.094
44.400002	106.027
45.000000	105.973
45.500000	105.929
46.200001	105.867
46.799999	105.809
47.500000	105.742
48.200001	105.683
48.700001	105.646
49.400002	105.591
50.000000	105.540
50.799999	105.466
51.500000	105.400
52.200001	105.332
53.000000	105.259
53.799999	105.190
54.500000	105.131
55.200001	105.074
56.000000	105.015
57.000000	104.942
58.000000	104.863
59.000000	104.790
60.000000	104.718
60.799999	104.659
61.500000	104.610
62.200001	104.563
63.000000	104.514
64.000000	104.457
65.000000	104.403
66.000000	104.349
67.000000	104.300
68.000000	104.259
69.000000	104.217
70.000000	104.170
71.000000	104.125
72.000000	104.086
73.000000	104.046
74.000000	104.004
75.000000	103.963
76.199997	103.915
77.500000	103.866
78.800003	103.821
80.000000	103.774
81.199997	103.720
82.500000	103.659
83.800003	103.603
85.000000	103.556
86.199997	103.508
87.500000	103.452
88.500000	103.408
90.000000	103.349
91.199997	103.305
92.500000	103.254
93.800003	103.200
95.000000	103.149
96.199997	103.100
97.500000	103.053
98.800003	103.002
100.000000	102.952
101.500000	102.889
103.000000	102.826
104.400002	102.768
106.000000	102.702
107.500000	102.638
109.000000	102.574
110.599998	102.508
112.000000	102.451
113.800003	102.379
115.000000	102.333
117.199997	102.252
118.000000	102.221
120.599998	102.114
122.000000	102.058
124.099998	101.977
125.000000	101.943
126.500000	101.890
128.000000	101.844
131.500000	101.742
132.000000	101.726
134.000000	101.659
136.000000	101.590
138.000000	101.527
140.000000	101.463
143.000000	101.363
145.000000	101.294
147.500000	101.206
150.000000	101.123
152.500000	101.043
155.000000	100.968
157.500000	100.905
160.000000	100.841
162.500000	100.769
165.000000	100.693
167.500000	100.607
170.000000	100.513
172.500000	100.422
175.000000	100.335
177.500000	100.249
180.000000	100.163
182.500000	100.081
185.000000	100.000
187.500000	99.914
190.000000	99.827
192.500000	99.739
195.000000	99.652
197.500000	99.570
200.000000	99.491
203.000000	99.397
206.000000	99.304
209.000000	99.215
212.000000	99.132
214.000000	99.077
218.000000	98.971
220.000000	98.919
224.000000	98.815
227.000000	98.733
230.000000	98.648
233.000000	98.565
236.000000	98.481
240.000000	98.370
243.000000	98.289
247.000000	98.189
250.000000	98.119
254.000000	98.025
258.000000	97.930
262.000000	97.835
265.000000	97.764
269.000000	97.668
272.000000	97.594
276.000000	97.493
280.000000	97.392
285.000000	97.267
290.000000	97.146
295.000000	97.029
300.000000	96.916
304.000000	96.826
307.000000	96.758
311.000000	96.669
315.000000	96.581
320.000000	96.476
325.000000	96.376
330.000000	96.280
335.000000	96.187
340.000000	96.094
345.000000	96.002
350.000000	95.912
355.000000	95.820
360.000000	95.727
365.000000	95.639
370.000000	95.553
375.000000	95.467
382.000000	95.348
387.000000	95.267
395.000000	95.142
400.000000	95.065
406.000000	94.971
412.000000	94.880
418.000000	94.797
425.000000	94.700
431.000000	94.618
437.000000	94.540
444.000000	94.455
450.000000	94.385
455.000000	94.328
462.000000	94.251
468.000000	94.189
475.000000	94.120
482.000000	94.055
487.000000	94.013
494.000000	93.957
500.000000	93.914
508.000000	93.861
515.000000	93.821
522.000000	93.784
530.000000	93.744
538.000000	93.711
545.000000	93.687
552.000000	93.666
560.000000	93.644
570.000000	93.621
580.000000	93.604
590.000000	93.593
600.000000	93.586
608.000000	93.582
615.000000	93.581
622.000000	93.583
630.000000	93.589
640.000000	93.605
650.000000	93.625
660.000000	93.648
670.000000	93.674
680.000000	93.701
690.000000	93.727
700.000000	93.753
710.000000	93.779
720.000000	93.803
730.000000	93.828
740.000000	93.858
750.000000	93.893
762.000000	93.937
775.000000	93.982
788.000000	94.021
800.000000	94.057
812.000000	94.094
825.000000	94.135
838.000000	94.177
850.000000	94.218
862.000000	94.264
875.000000	94.316
885.000000	94.358
900.000000	94.425
912.000000	94.488
925.000000	94.565
938.000000	94.645
950.000000	94.713
962.000000	94.778
975.000000	94.851
988.000000	94.931
1000.000000	95.001
1015.000000	95.075
1030.000000	95.143
1044.000000	95.206
1060.000000	95.282
1075.000000	95.356
1090.000000	95.431
1106.000000	95.513
1120.000000	95.585
1138.000000	95.678
1150.000000	95.739
1172.000000	95.849
1180.000000	95.888
1206.000000	96.013
1220.000000	96.079
1241.000000	96.182
1250.000000	96.229
1265.000000	96.314
1280.000000	96.405
1315.000000	96.618
1320.000000	96.647
1340.000000	96.764
1360.000000	96.880
1380.000000	96.993
1400.000000	97.100
1430.000000	97.268
1450.000000	97.389
1475.000000	97.543
1500.000000	97.697
1525.000000	97.855
1550.000000	98.020
1575.000000	98.193
