* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -4.8 dBFS, measurement signal peak level -4.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:49:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0317 ms (11 mm, 0.43 in) using estimated IR delay relative to Acoustic reference played from refR.wav with no timing offset Clock adjustment: -127.0 ppm
* Measurement: EQ Treble R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	59.669	45.5718
1.015000	59.925	46.8405
1.030000	60.180	48.0413
1.044000	60.418	49.0938
1.060000	60.687	50.2079
1.075000	60.937	51.1584
1.090000	61.182	52.0099
1.106000	61.440	52.8051
1.120000	61.671	53.4265
1.138000	61.976	54.1349
1.150000	62.184	54.5530
1.172000	62.575	55.2140
1.180000	62.719	55.4222
1.206000	63.196	55.9884
1.220000	63.456	56.2279
1.241000	63.851	56.5089
1.250000	64.021	56.6026
1.265000	64.305	56.7258
1.280000	64.590	56.8109
1.315000	65.254	56.8801
1.320000	65.348	56.8770
1.340000	65.722	56.8375
1.360000	66.092	56.7605
1.380000	66.456	56.6539
1.400000	66.812	56.5260
1.430000	67.329	56.3117
1.450000	67.659	56.1656
1.475000	68.055	55.9828
1.500000	68.438	55.7155
1.525000	68.813	55.3521
1.550000	69.178	54.9037
1.575000	69.535	54.3817
1.600000	69.883	53.7974
1.625000	70.225	53.1620
1.650000	70.560	52.4869
1.675000	70.888	51.7833
1.700000	71.210	51.0626
1.725000	71.527	50.3360
1.750000	71.840	49.6149
1.775000	72.148	48.9105
1.800000	72.453	48.2341
1.825000	72.754	47.5970
1.850000	73.051	46.9938
1.875000	73.342	46.3905
1.900000	73.627	45.7853
1.925000	73.906	45.1784
1.950000	74.179	44.5696
1.975000	74.448	43.9590
2.000000	74.711	43.3466
2.030000	75.022	42.6094
2.060000	75.326	41.8696
2.090000	75.626	41.1272
2.120000	75.920	40.3822
2.140000	76.114	39.8841
2.180000	76.498	38.8845
2.200000	76.688	38.3829
2.240000	77.061	37.3675
2.270000	77.333	36.5949
2.300000	77.600	35.8157
2.330000	77.862	35.0323
2.360000	78.118	34.2472
2.400000	78.454	33.2020
2.430000	78.701	32.4225
2.470000	79.026	31.3939
2.500000	79.265	30.6336
2.540000	79.581	29.6394
2.580000	79.892	28.6718
2.620000	80.197	27.7230
2.650000	80.421	27.0215
2.690000	80.714	26.0988
2.720000	80.930	25.4155
2.760000	81.213	24.5150
2.800000	81.491	23.6255
2.850000	81.833	22.5272
2.900000	82.170	21.4415
2.950000	82.501	20.3667
3.000000	82.826	19.3075
3.040000	83.081	18.4717
3.070000	83.269	17.8512
3.110000	83.516	17.0318
3.150000	83.760	16.2211
3.200000	84.060	15.2190
3.250000	84.356	14.2284
3.300000	84.648	13.2484
3.350000	84.936	12.2807
3.400000	85.219	11.3264
3.450000	85.496	10.3847
3.500000	85.770	9.4544
3.550000	86.039	8.5346
3.600000	86.305	7.6242
3.650000	86.567	6.7223
3.700000	86.826	5.8298
3.750000	87.081	4.9501
3.820000	87.431	3.7364
3.870000	87.677	2.8797
3.950000	88.064	1.5214
4.000000	88.301	0.6772
4.060000	88.581	-0.3335
4.120000	88.857	-1.3392
4.180000	89.127	-2.3383
4.250000	89.437	-3.4941
4.310000	89.697	-4.4753
4.370000	89.953	-5.4464
4.440000	90.246	-6.5658
4.500000	90.492	-7.5149
4.550000	90.693	-8.2986
4.620000	90.969	-9.3850
4.680000	91.202	-10.3064
4.750000	91.468	-11.3702
4.820000	91.729	-12.4232
4.870000	91.911	-13.1693
4.940000	92.161	-14.2035
5.000000	92.371	-15.0788
5.080000	92.646	-16.2269
5.150000	92.882	-17.2116
5.220000	93.113	-18.1787
5.300000	93.370	-19.2638
5.380000	93.622	-20.3278
5.450000	93.839	-21.2417
5.520000	94.052	-22.1399
5.600000	94.291	-23.1452
5.700000	94.583	-24.3725
5.800000	94.869	-25.5708
5.900000	95.151	-26.7435
6.000000	95.427	-27.8848
6.080000	95.644	-28.7791
6.150000	95.831	-29.5514
6.220000	96.017	-30.3174
6.300000	96.227	-31.1831
6.400000	96.486	-32.2470
6.500000	96.741	-33.2982
6.600000	96.992	-34.3450
6.700000	97.240	-35.3861
6.800000	97.484	-36.4197
6.900000	97.723	-37.4496
7.000000	97.958	-38.4794
7.100000	98.188	-39.5078
7.200000	98.414	-40.5339
7.300000	98.635	-41.5572
7.400000	98.851	-42.5786
7.500000	99.062	-43.5987
7.620000	99.308	-44.8165
7.750000	99.568	-46.1233
7.880000	99.819	-47.4195
8.000000	100.044	-48.6037
8.120000	100.264	-49.7724
8.250000	100.495	-51.0222
8.380000	100.721	-52.2564
8.500000	100.925	-53.3816
8.620000	101.125	-54.4920
8.750000	101.337	-55.6849
8.850000	101.498	-56.5982
9.000000	101.736	-57.9569
9.120000	101.922	-59.0419
9.250000	102.123	-60.2207
9.380000	102.320	-61.4000
9.500000	102.498	-62.4938
9.620000	102.672	-63.5956
9.750000	102.855	-64.7962
9.880000	103.029	-66.0043
10.000000	103.182	-67.1274
10.150000	103.362	-68.5405
10.300000	103.532	-69.9588
10.440000	103.681	-71.2883
10.600000	103.843	-72.8102
10.750000	103.989	-74.2357
10.900000	104.128	-75.6607
11.060000	104.271	-77.1761
11.200000	104.392	-78.4987
11.380000	104.540	-80.1930
11.500000	104.635	-81.3189
11.720000	104.800	-83.3730
11.800000	104.857	-84.1165
12.060000	105.031	-86.5171
12.200000	105.120	-87.7948
12.410000	105.247	-89.6885
12.500000	105.300	-90.4863
12.650000	105.387	-91.8009
12.800000	105.471	-93.0883
13.150000	105.655	-95.9680
13.200000	105.680	-96.3639
13.400000	105.776	-97.9068
13.600000	105.867	-99.3882
13.800000	105.956	-100.8070
14.000000	106.043	-102.1750
14.300000	106.172	-104.1404
14.500000	106.257	-105.4065
14.750000	106.361	-106.9516
15.000000	106.463	-108.4620
15.250000	106.560	-109.9458
15.500000	106.652	-111.4079
15.750000	106.739	-112.8525
16.000000	106.820	-114.2862
16.250000	106.894	-115.7147
16.500000	106.959	-117.1393
16.750000	107.012	-118.5609
17.000000	107.051	-119.9686
17.250000	107.076	-121.3515
17.500000	107.085	-122.6953
17.750000	107.081	-123.9807
18.000000	107.065	-125.2006
18.250000	107.039	-126.3480
18.500000	107.007	-127.4255
18.750000	106.971	-128.4397
19.000000	106.932	-129.3964
19.250000	106.891	-130.3038
19.500000	106.849	-131.1628
19.750000	106.807	-131.9743
20.000000	106.767	-132.7367
20.299999	106.725	-133.5926
20.600000	106.693	-134.3980
20.900000	106.674	-135.1767
21.200001	106.669	-135.9598
21.400000	106.672	-136.4992
21.799999	106.690	-137.6299
22.000000	106.703	-138.2206
22.400000	106.732	-139.4352
22.700001	106.756	-140.3541
23.000000	106.783	-141.2632
23.299999	106.813	-142.1582
23.600000	106.846	-143.0393
24.000000	106.892	-144.1929
24.299999	106.927	-145.0371
24.700001	106.971	-146.1199
25.000000	107.001	-146.8874
25.400000	107.039	-147.8422
25.799999	107.075	-148.7224
26.200001	107.108	-149.5432
26.500000	107.130	-150.1293
26.900000	107.156	-150.8784
27.200001	107.170	-151.4177
27.600000	107.183	-152.1078
28.000000	107.191	-152.7696
28.500000	107.194	-153.5752
29.000000	107.193	-154.3937
29.500000	107.188	-155.2651
30.000000	107.174	-156.2117
30.400000	107.156	-157.0140
30.700001	107.138	-157.6289
31.100000	107.110	-158.4491
31.500000	107.082	-159.2624
32.000000	107.052	-160.2808
32.500000	107.029	-161.3262
33.000000	107.009	-162.4041
33.500000	106.989	-163.4852
34.000000	106.968	-164.5298
34.500000	106.949	-165.5212
35.000000	106.934	-166.4693
35.500000	106.921	-167.3871
36.000000	106.904	-168.2703
36.500000	106.883	-169.1029
37.000000	106.858	-169.8776
37.500000	106.833	-170.6083
38.200001	106.794	-171.6037
38.700001	106.760	-172.3050
39.500000	106.694	-173.3668
40.000000	106.654	-173.9893
40.599998	106.609	-174.7375
41.200001	106.564	-175.5208
41.799999	106.511	-176.3015
42.500000	106.444	-177.1229
43.099998	106.394	-177.7452
43.700001	106.351	-178.3496
44.400002	106.303	-179.0632
45.000000	106.256	-179.6466
45.500000	106.214	179.9146
46.200001	106.157	179.3641
46.799999	106.111	178.9183
47.500000	106.058	178.4036
48.200001	106.003	177.8972
48.700001	105.964	177.5394
49.400002	105.910	177.0345
50.000000	105.861	176.5980
50.799999	105.793	176.0207
51.500000	105.732	175.5176
52.200001	105.670	175.0197
53.000000	105.595	174.4977
53.799999	105.524	174.0526
54.500000	105.468	173.6965
55.200001	105.415	173.3400
56.000000	105.356	172.9286
57.000000	105.278	172.4283
58.000000	105.202	171.9565
59.000000	105.128	171.4804
60.000000	105.050	171.0057
60.799999	104.989	170.6735
61.500000	104.941	170.4043
62.200001	104.898	170.1245
63.000000	104.853	169.7883
64.000000	104.798	169.3737
65.000000	104.745	168.9907
66.000000	104.695	168.6340
67.000000	104.646	168.2845
68.000000	104.599	167.9486
69.000000	104.554	167.6173
70.000000	104.510	167.2814
