* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of R, R, R
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:44:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of R, R, R
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	77.460
2.240000	77.722
2.270000	77.919
2.300000	78.117
2.330000	78.314
2.360000	78.511
2.400000	78.773
2.430000	78.970
2.470000	79.233
2.500000	79.430
2.540000	79.693
2.580000	79.967
2.620000	80.267
2.650000	80.500
2.690000	80.818
2.720000	81.060
2.760000	81.383
2.800000	81.703
2.850000	82.092
2.900000	82.462
2.950000	82.804
3.000000	83.124
3.040000	83.368
3.070000	83.545
3.110000	83.775
3.150000	83.999
3.200000	84.276
3.250000	84.552
3.300000	84.832
3.350000	85.113
3.400000	85.392
3.450000	85.669
3.500000	85.942
3.550000	86.212
3.600000	86.478
3.650000	86.739
3.700000	86.995
3.750000	87.247
3.820000	87.592
3.870000	87.834
3.950000	88.213
4.000000	88.447
4.060000	88.722
4.120000	88.993
4.180000	89.259
4.250000	89.563
4.310000	89.818
4.370000	90.070
4.440000	90.357
4.500000	90.599
4.550000	90.797
4.620000	91.069
4.680000	91.297
4.750000	91.559
4.820000	91.816
4.870000	91.995
4.940000	92.241
5.000000	92.449
5.080000	92.721
5.150000	92.955
5.220000	93.184
5.300000	93.441
5.380000	93.693
5.450000	93.911
5.520000	94.126
5.600000	94.368
5.700000	94.665
5.800000	94.958
5.900000	95.246
6.000000	95.531
6.080000	95.755
6.150000	95.950
6.220000	96.142
6.300000	96.360
6.400000	96.629
6.500000	96.894
6.600000	97.154
6.700000	97.410
6.800000	97.661
6.900000	97.906
7.000000	98.145
7.100000	98.379
7.200000	98.607
7.300000	98.828
7.400000	99.044
7.500000	99.252
7.620000	99.495
7.750000	99.750
7.880000	99.994
8.000000	100.212
8.120000	100.425
8.250000	100.648
8.380000	100.866
8.500000	101.064
8.620000	101.259
8.750000	101.466
8.850000	101.625
9.000000	101.860
9.120000	102.046
9.250000	102.247
9.380000	102.446
9.500000	102.627
9.620000	102.803
9.750000	102.990
9.880000	103.169
10.000000	103.325
10.150000	103.511
10.300000	103.685
10.440000	103.838
10.600000	104.003
10.750000	104.151
10.900000	104.292
11.060000	104.437
11.200000	104.558
11.380000	104.707
11.500000	104.802
11.720000	104.967
11.800000	105.023
12.060000	105.197
12.200000	105.285
12.410000	105.410
12.500000	105.462
12.650000	105.546
12.800000	105.626
13.150000	105.795
13.200000	105.817
13.400000	105.900
13.600000	105.978
13.800000	106.052
14.000000	106.127
14.300000	106.242
14.500000	106.323
14.750000	106.430
15.000000	106.543
15.250000	106.659
15.500000	106.773
15.750000	106.882
16.000000	106.982
16.250000	107.070
16.500000	107.141
16.750000	107.195
17.000000	107.230
17.250000	107.247
17.500000	107.247
17.750000	107.233
18.000000	107.207
18.250000	107.173
18.500000	107.134
18.750000	107.091
19.000000	107.045
19.250000	106.997
19.500000	106.949
19.750000	106.899
20.000000	106.851
20.299999	106.798
20.600000	106.754
20.900000	106.723
21.200001	106.707
21.400000	106.703
21.799999	106.711
22.000000	106.721
22.400000	106.746
22.700001	106.767
23.000000	106.792
23.299999	106.822
23.600000	106.856
24.000000	106.910
24.299999	106.952
24.700001	107.006
25.000000	107.042
25.400000	107.081
25.799999	107.113
26.200001	107.142
26.500000	107.163
26.900000	107.186
27.200001	107.199
27.600000	107.207
28.000000	107.205
28.500000	107.192
29.000000	107.173
29.500000	107.150
30.000000	107.122
30.400000	107.096
30.700001	107.075
31.100000	107.046
31.500000	107.016
32.000000	106.980
32.500000	106.944
33.000000	106.912
33.500000	106.887
34.000000	106.869
34.500000	106.859
35.000000	106.850
35.500000	106.840
36.000000	106.829
36.500000	106.816
37.000000	106.802
37.500000	106.786
38.200001	106.755
38.700001	106.724
39.500000	106.661
40.000000	106.617
40.599998	106.564
41.200001	106.515
41.799999	106.466
42.500000	106.409
43.099998	106.361
43.700001	106.315
44.400002	106.260
45.000000	106.213
45.500000	106.174
46.200001	106.120
46.799999	106.076
47.500000	106.028
48.200001	105.981
48.700001	105.945
49.400002	105.892
50.000000	105.842
50.799999	105.771
51.500000	105.706
52.200001	105.644
53.000000	105.577
53.799999	105.515
54.500000	105.461
