* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.800. Timing signal peak level -12.4 dBFS, measurement signal peak level -12.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 9. 20 오전 12:27:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0208 ms (-7.1 mm, -0.28 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: Preinstalled L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	52.107	40.3086
1.015000	52.461	42.2788
1.030000	52.814	44.1561
1.044000	53.141	45.8136
1.060000	53.509	47.5829
1.075000	53.848	49.1080
1.090000	54.180	50.4914
1.106000	54.525	51.8069
1.120000	54.834	52.8722
1.138000	55.243	54.1427
1.150000	55.523	54.9296
1.172000	56.049	56.2520
1.180000	56.244	56.6953
1.206000	56.887	58.0043
1.220000	57.239	58.6285
1.241000	57.772	59.4643
1.250000	58.001	59.7870
1.265000	58.385	60.2793
1.280000	58.768	60.7167
1.315000	59.659	61.5376
1.320000	59.786	61.6333
1.340000	60.287	61.9656
1.360000	60.779	62.2216
1.380000	61.262	62.4066
1.400000	61.731	62.5264
1.430000	62.407	62.5959
1.450000	62.834	62.5770
1.475000	63.341	62.4733
1.500000	63.825	62.1508
1.525000	64.292	61.6035
1.550000	64.743	60.8621
1.575000	65.178	59.9572
1.600000	65.599	58.9195
1.625000	66.008	57.7796
1.650000	66.406	56.5680
1.675000	66.793	55.3155
1.700000	67.172	54.0525
1.725000	67.544	52.8098
1.750000	67.909	51.6180
1.775000	68.270	50.5077
1.800000	68.627	49.5094
1.825000	68.982	48.6539
1.850000	69.333	47.9388
1.875000	69.675	47.2958
1.900000	70.009	46.7128
1.925000	70.335	46.1805
1.950000	70.653	45.6898
1.975000	70.964	45.2315
2.000000	71.269	44.7964
2.030000	71.626	44.2921
2.060000	71.977	43.7920
2.090000	72.320	43.2804
2.120000	72.658	42.7413
2.140000	72.880	42.3589
2.180000	73.319	41.5175
2.200000	73.536	41.0492
2.240000	73.962	40.0399
2.270000	74.272	39.2364
2.300000	74.576	38.4013
2.330000	74.872	37.5419
2.360000	75.163	36.6655
2.400000	75.542	35.4832
2.430000	75.820	34.5957
2.470000	76.184	33.4253
2.500000	76.452	32.5666
2.540000	76.805	31.4612
2.580000	77.152	30.4126
2.620000	77.491	29.3942
2.650000	77.739	28.6441
2.690000	78.063	27.6612
2.720000	78.301	26.9360
2.760000	78.612	25.9836
2.800000	78.917	25.0464
2.850000	79.290	23.8938
2.900000	79.655	22.7592
2.950000	80.014	21.6418
3.000000	80.363	20.5578
3.040000	80.636	19.7126
3.070000	80.837	19.0885
3.110000	81.099	18.2658
3.150000	81.358	17.4497
3.200000	81.674	16.4320
3.250000	81.985	15.4086
3.300000	82.291	14.3706
3.350000	82.590	13.3107
3.400000	82.882	12.2353
3.450000	83.168	11.1551
3.500000	83.447	10.0807
3.550000	83.722	9.0227
3.600000	83.991	7.9919
3.650000	84.257	6.9989
3.700000	84.518	6.0534
3.750000	84.774	5.1520
3.820000	85.124	3.9428
3.870000	85.368	3.1010
3.950000	85.750	1.7606
4.000000	85.985	0.9089
4.060000	86.262	-0.1435
4.120000	86.533	-1.2194
4.180000	86.798	-2.3057
4.250000	87.101	-3.5702
4.310000	87.355	-4.6377
4.370000	87.605	-5.6774
4.440000	87.892	-6.8425
4.500000	88.132	-7.8056
4.550000	88.329	-8.5903
4.620000	88.599	-9.6726
4.680000	88.826	-10.5954
4.750000	89.086	-11.6792
4.820000	89.341	-12.7781
4.870000	89.520	-13.5664
4.940000	89.765	-14.6692
5.000000	89.971	-15.6089
5.080000	90.240	-16.8456
5.150000	90.471	-17.9056
5.220000	90.696	-18.9463
5.300000	90.948	-20.1172
5.380000	91.194	-21.2728
5.450000	91.404	-22.2749
5.520000	91.611	-23.2714
5.600000	91.842	-24.4012
5.700000	92.122	-25.7977
5.800000	92.395	-27.1752
5.900000	92.661	-28.5322
6.000000	92.919	-29.8695
6.080000	93.121	-30.9252
6.150000	93.294	-31.8383
6.220000	93.464	-32.7414
6.300000	93.655	-33.7596
6.400000	93.888	-35.0119
6.500000	94.115	-36.2469
6.600000	94.337	-37.4702
6.700000	94.554	-38.6828
6.800000	94.765	-39.8821
6.900000	94.972	-41.0673
7.000000	95.174	-42.2375
7.100000	95.371	-43.3915
7.200000	95.563	-44.5317
7.300000	95.750	-45.6613
7.400000	95.933	-46.7827
7.500000	96.111	-47.8948
7.620000	96.319	-49.2131
7.750000	96.537	-50.6172
7.880000	96.747	-51.9979
8.000000	96.935	-53.2507
8.120000	97.117	-54.4813
8.250000	97.308	-55.7904
8.380000	97.493	-57.0727
8.500000	97.659	-58.2307
8.620000	97.821	-59.3642
8.750000	97.992	-60.5678
8.850000	98.121	-61.4776
9.000000	98.311	-62.8130
9.120000	98.460	-63.8635
9.250000	98.620	-64.9877
9.380000	98.777	-66.0950
9.500000	98.919	-67.1085
9.620000	99.057	-68.1169
9.750000	99.202	-69.2009
9.880000	99.341	-70.2804
10.000000	99.460	-71.2754
10.150000	99.600	-72.5145
10.300000	99.730	-73.7442
10.440000	99.842	-74.8856
10.600000	99.962	-76.1744
10.750000	100.068	-77.3631
10.900000	100.167	-78.5327
11.060000	100.269	-79.7483
11.200000	100.353	-80.7858
