* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.800. Timing signal peak level -13.2 dBFS, measurement signal peak level -12.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 9. 20 오전 12:29:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0204 ms (-7.0 mm, -0.27 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: Preinstalled R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	53.495	40.6962
1.015000	53.879	42.5166
1.030000	54.259	44.2455
1.044000	54.608	45.7667
1.060000	54.999	47.3838
1.075000	55.356	48.7705
1.090000	55.701	50.0205
1.106000	56.056	51.1983
1.120000	56.370	52.1376
1.138000	56.782	53.2368
1.150000	57.060	53.9045
1.172000	57.579	54.9999
1.180000	57.769	55.3586
1.206000	58.395	56.3867
1.220000	58.734	56.8574
1.241000	59.245	57.4624
1.250000	59.465	57.6865
1.265000	59.830	58.0158
1.280000	60.195	58.2928
1.315000	61.039	58.7545
1.320000	61.158	58.8011
1.340000	61.632	58.9448
1.360000	62.098	59.0253
1.380000	62.554	59.0509
1.400000	62.999	59.0293
1.430000	63.642	58.9264
1.450000	64.053	58.8222
1.475000	64.542	58.6500
1.500000	65.012	58.3045
1.525000	65.465	57.7755
1.550000	65.903	57.0879
1.575000	66.327	56.2666
1.600000	66.738	55.3367
1.625000	67.137	54.3231
1.650000	67.525	53.2508
1.675000	67.904	52.1446
1.700000	68.275	51.0297
1.725000	68.638	49.9308
1.750000	68.996	48.8731
1.775000	69.349	47.8814
1.800000	69.698	46.9808
1.825000	70.045	46.1961
1.850000	70.389	45.5252
1.875000	70.724	44.9119
1.900000	71.050	44.3464
1.925000	71.369	43.8215
1.950000	71.681	43.3299
1.975000	71.986	42.8643
2.000000	72.285	42.4175
2.030000	72.636	41.8957
2.060000	72.980	41.3779
2.090000	73.318	40.8515
2.120000	73.650	40.3039
2.140000	73.868	39.9209
2.180000	74.300	39.0949
2.200000	74.514	38.6446
2.240000	74.934	37.6863
2.270000	75.240	36.9309
2.300000	75.539	36.1507
2.330000	75.832	35.3517
2.360000	76.120	34.5397
2.400000	76.495	33.4475
2.430000	76.770	32.6288
2.470000	77.131	31.5492
2.500000	77.398	30.7564
2.540000	77.748	29.7329
2.580000	78.094	28.7578
2.620000	78.431	27.8112
2.650000	78.679	27.1148
2.690000	79.003	26.2025
2.720000	79.241	25.5291
2.760000	79.552	24.6438
2.800000	79.858	23.7708
2.850000	80.232	22.6930
2.900000	80.600	21.6260
2.950000	80.961	20.5674
3.000000	81.314	19.5318
3.040000	81.590	18.7190
3.070000	81.793	18.1165
3.110000	82.059	17.3197
3.150000	82.321	16.5274
3.200000	82.643	15.5384
3.250000	82.959	14.5448
3.300000	83.270	13.5400
3.350000	83.574	12.5190
3.400000	83.872	11.4863
3.450000	84.164	10.4496
3.500000	84.449	9.4166
3.550000	84.729	8.3950
3.600000	85.005	7.3925
3.650000	85.275	6.4167
3.700000	85.542	5.4744
3.750000	85.802	4.5631
3.820000	86.159	3.3242
3.870000	86.407	2.4546
3.950000	86.796	1.0678
4.000000	87.034	0.1913
4.060000	87.314	-0.8821
4.120000	87.587	-1.9741
4.180000	87.855	-3.0743
4.250000	88.159	-4.3545
4.310000	88.414	-5.4374
4.370000	88.665	-6.4963
4.440000	88.950	-7.6911
4.500000	89.189	-8.6865
4.550000	89.384	-9.5010
4.620000	89.652	-10.6254
4.680000	89.876	-11.5815
4.750000	90.133	-12.6968
4.820000	90.384	-13.8170
4.870000	90.559	-14.6166
4.940000	90.800	-15.7308
5.000000	91.002	-16.6772
5.080000	91.265	-17.9205
5.150000	91.491	-18.9853
5.220000	91.712	-20.0288
5.300000	91.959	-21.2001
5.380000	92.200	-22.3535
5.450000	92.406	-23.3519
5.520000	92.609	-24.3432
5.600000	92.836	-25.4636
5.700000	93.113	-26.8449
5.800000	93.383	-28.2072
5.900000	93.646	-29.5523
6.000000	93.903	-30.8785
6.080000	94.104	-31.9266
6.150000	94.276	-32.8352
6.220000	94.446	-33.7366
6.300000	94.636	-34.7570
6.400000	94.868	-36.0170
6.500000	95.095	-37.2635
6.600000	95.316	-38.5004
6.700000	95.531	-39.7293
6.800000	95.741	-40.9478
6.900000	95.945	-42.1530
7.000000	96.144	-43.3426
7.100000	96.337	-44.5174
7.200000	96.524	-45.6779
7.300000	96.707	-46.8241
7.400000	96.885	-47.9567
7.500000	97.058	-49.0760
7.620000	97.259	-50.3981
7.750000	97.470	-51.7997
7.880000	97.674	-53.1704
8.000000	97.857	-54.4096
8.120000	98.035	-55.6244
8.250000	98.222	-56.9118
8.380000	98.405	-58.1726
8.500000	98.570	-59.3144
8.620000	98.731	-60.4331
8.750000	98.902	-61.6250
8.850000	99.032	-62.5305
9.000000	99.222	-63.8665
9.120000	99.372	-64.9218
9.250000	99.531	-66.0558
9.380000	99.688	-67.1777
9.500000	99.829	-68.2055
9.620000	99.965	-69.2276
9.750000	100.108	-70.3270
9.880000	100.243	-71.4185
10.000000	100.360	-72.4200
10.150000	100.495	-73.6623
10.300000	100.622	-74.8892
10.440000	100.730	-76.0213
10.600000	100.847	-77.2957
10.750000	100.951	-78.4683
10.900000	101.050	-79.6200
11.060000	101.152	-80.8210
11.200000	101.237	-81.8486
11.380000	101.343	-83.1394
11.500000	101.412	-83.9801
11.720000	101.533	-85.4858
11.800000	101.576	-86.0231
12.060000	101.713	-87.7338
12.200000	101.786	-88.6390
12.410000	101.896	-89.9768
12.500000	101.945	-90.5457
12.650000	102.027	-91.4871
12.800000	102.108	-92.4207
13.150000	102.296	-94.5719
13.200000	102.322	-94.8751
13.400000	102.422	-96.0783
13.600000	102.516	-97.2602
13.800000	102.606	-98.4188
14.000000	102.692	-99.5513
14.300000	102.815	-101.2006
14.500000	102.894	-102.2684
14.750000	102.989	-103.5746
15.000000	103.082	-104.8527
15.250000	103.172	-106.1108
15.500000	103.258	-107.3511
15.750000	103.340	-108.5738
16.000000	103.419	-109.7767
16.250000	103.495	-110.9549
16.500000	103.568	-112.1060
16.750000	103.638	-113.2274
17.000000	103.706	-114.3214
17.250000	103.772	-115.3908
17.500000	103.836	-116.4400
17.750000	103.898	-117.4746
18.000000	103.958	-118.4959
18.250000	104.016	-119.5053
18.500000	104.070	-120.5003
18.750000	104.122	-121.4785
19.000000	104.170	-122.4375
19.250000	104.216	-123.3751
19.500000	104.260	-124.2922
19.750000	104.302	-125.1900
20.000000	104.344	-126.0716
20.299999	104.391	-127.1116
20.600000	104.437	-128.1346
20.900000	104.479	-129.1411
21.200001	104.519	-130.1299
21.400000	104.544	-130.7779
21.799999	104.591	-132.0467
22.000000	104.613	-132.6676
22.400000	104.655	-133.8851
22.700001	104.685	-134.7798
23.000000	104.713	-135.6606
23.299999	104.739	-136.5276
23.600000	104.763	-137.3796
24.000000	104.792	-138.4901
24.299999	104.812	-139.3033
24.700001	104.838	-140.3640
25.000000	104.857	-141.1457
25.400000	104.880	-142.1751
25.799999	104.901	-143.1921
26.200001	104.918	-144.1925
26.500000	104.929	-144.9270
26.900000	104.942	-145.8804
27.200001	104.950	-146.5763
27.600000	104.961	-147.4829
28.000000	104.970	-148.3719
28.500000	104.980	-149.4611
29.000000	104.987	-150.5146
29.500000	104.992	-151.5228
30.000000	104.998	-152.4990
30.400000	105.004	-153.2751
30.700001	105.008	-153.8599
31.100000	105.010	-154.6389
31.500000	105.009	-155.4043
32.000000	105.005	-156.3239
32.500000	105.002	-157.2058
33.000000	104.999	-158.0742
33.500000	104.996	-158.9431
34.000000	104.988	-159.8006
34.500000	104.978	-160.6277
35.000000	104.968	-161.4241
35.500000	104.959	-162.2066
36.000000	104.950	-162.9851
36.500000	104.938	-163.7517
37.000000	104.924	-164.4918
37.500000	104.909	-165.2004
38.200001	104.890	-166.1522
38.700001	104.878	-166.8172
39.500000	104.861	-167.8850
40.000000	104.848	-168.5647
