* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.800. Timing signal peak level -13.8 dBFS, measurement signal peak level -13.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 9. 20 오전 12:16:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0177 ms (-6.1 mm, -0.24 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: Tang Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	45.643	32.8577
1.015000	46.004	35.4587
1.030000	46.367	37.9498
1.044000	46.706	40.1615
1.060000	47.091	42.5378
1.075000	47.448	44.6022
1.090000	47.801	46.4920
1.106000	48.172	48.3130
1.120000	48.510	49.8237
1.138000	48.963	51.6779
1.150000	49.276	52.8592
1.172000	49.871	54.9108
1.180000	50.093	55.6203
1.206000	50.833	57.7918
1.220000	51.240	58.8761
1.241000	51.860	60.3910
1.250000	52.128	60.9993
1.265000	52.577	61.9587
1.280000	53.027	62.8501
1.315000	54.074	64.6659
1.320000	54.223	64.8951
1.340000	54.811	65.7368
1.360000	55.389	66.4583
1.380000	55.953	67.0596
1.400000	56.498	67.5409
1.430000	57.276	68.0384
1.450000	57.763	68.2207
1.475000	58.330	68.2598
1.500000	58.867	67.9221
1.525000	59.380	67.2127
1.550000	59.870	66.1845
1.575000	60.340	64.8904
1.600000	60.791	63.3831
1.625000	61.225	61.7155
1.650000	61.645	59.9406
1.675000	62.053	58.1111
1.700000	62.450	56.2799
1.725000	62.838	54.4999
1.750000	63.219	52.8239
1.775000	63.596	51.3047
1.800000	63.970	49.9953
1.825000	64.344	48.9484
1.850000	64.714	48.1654
1.875000	65.075	47.5389
1.900000	65.425	47.0447
1.925000	65.767	46.6628
1.950000	66.099	46.3733
1.975000	66.424	46.1565
2.000000	66.741	45.9925
2.030000	67.113	45.8374
2.060000	67.476	45.6954
2.090000	67.832	45.5322
2.120000	68.182	45.3135
2.140000	68.412	45.1200
2.180000	68.868	44.5725
2.200000	69.093	44.1987
2.240000	69.535	43.3085
2.270000	69.857	42.5539
2.300000	70.171	41.7393
2.330000	70.478	40.8777
2.360000	70.779	39.9822
2.400000	71.170	38.7580
2.430000	71.458	37.8341
2.470000	71.834	36.6194
2.500000	72.111	35.7382
2.540000	72.476	34.6278
2.580000	72.835	33.6117
2.620000	73.185	32.6414
2.650000	73.442	31.9332
2.690000	73.777	31.0132
2.720000	74.023	30.3402
2.760000	74.344	29.4635
2.800000	74.659	28.6085
2.850000	75.045	27.5668
2.900000	75.423	26.5510
2.950000	75.794	25.5614
3.000000	76.156	24.6314
3.040000	76.439	23.9247
3.070000	76.646	23.4098
3.110000	76.919	22.7348
3.150000	77.186	22.0638
3.200000	77.515	21.2148
3.250000	77.837	20.3356
3.300000	78.154	19.4059
3.350000	78.464	18.4094
3.400000	78.767	17.3602
3.450000	79.064	16.2827
3.500000	79.354	15.2010
3.550000	79.639	14.1395
3.600000	79.918	13.1222
3.650000	80.194	12.1734
3.700000	80.465	11.3130
3.750000	80.730	10.5307
3.820000	81.093	9.5230
3.870000	81.346	8.8345
3.950000	81.743	7.7235
4.000000	81.986	6.9875
4.060000	82.273	6.0289
4.120000	82.554	5.0041
4.180000	82.829	3.9417
4.250000	83.143	2.6909
4.310000	83.406	1.6399
4.370000	83.666	0.6369
4.440000	83.963	-0.4448
4.500000	84.212	-1.3105
4.550000	84.416	-2.0034
4.620000	84.696	-2.9518
4.680000	84.932	-3.7648
4.750000	85.202	-4.7397
4.820000	85.467	-5.7573
4.870000	85.653	-6.4988
4.940000	85.909	-7.5461
5.000000	86.123	-8.4426
5.080000	86.405	-9.6198
5.150000	86.646	-10.6184
5.220000	86.882	-11.5902
5.300000	87.146	-12.6790
5.380000	87.404	-13.7537
5.450000	87.625	-14.6904
5.520000	87.842	-15.6297
5.600000	88.085	-16.7020
5.700000	88.380	-18.0351
5.800000	88.667	-19.3571
5.900000	88.947	-20.6652
6.000000	89.218	-21.9635
6.080000	89.429	-22.9925
6.150000	89.610	-23.8834
6.220000	89.788	-24.7633
6.300000	89.987	-25.7536
6.400000	90.229	-26.9715
6.500000	90.465	-28.1727
6.600000	90.695	-29.3631
6.700000	90.919	-30.5461
6.800000	91.137	-31.7174
6.900000	91.349	-32.8707
7.000000	91.557	-33.9998
7.100000	91.760	-35.1038
7.200000	91.958	-36.1889
7.300000	92.152	-37.2616
7.400000	92.343	-38.3259
7.500000	92.529	-39.3786
7.620000	92.748	-40.6250
7.750000	92.979	-41.9526
7.880000	93.204	-43.2551
8.000000	93.407	-44.4410
8.120000	93.606	-45.6168
8.250000	93.816	-46.8771
8.380000	94.021	-48.1227
8.500000	94.205	-49.2598
8.620000	94.385	-50.3847
8.750000	94.574	-51.5889
8.850000	94.716	-52.5044
9.000000	94.924	-53.8608
9.120000	95.085	-54.9301
9.250000	95.257	-56.0722
9.380000	95.424	-57.1977
9.500000	95.573	-58.2201
9.620000	95.718	-59.2252
9.750000	95.870	-60.2955
9.880000	96.015	-61.3484
10.000000	96.141	-62.3053
10.150000	96.290	-63.4809
10.300000	96.432	-64.6367
10.440000	96.557	-65.6962
10.600000	96.695	-66.8890
10.750000	96.822	-67.9934
10.900000	96.945	-69.0836
11.060000	97.074	-70.2338
11.200000	97.184	-71.2292
11.380000	97.322	-72.4956
11.500000	97.411	-73.3323
11.720000	97.568	-74.8484
11.800000	97.623	-75.3937
12.060000	97.797	-77.1430
12.200000	97.887	-78.0689
12.410000	98.021	-79.4366
12.500000	98.079	-80.0140
12.650000	98.175	-80.9649
12.800000	98.271	-81.9015
13.150000	98.490	-84.0303
13.200000	98.521	-84.3282
13.400000	98.639	-85.5041
13.600000	98.754	-86.6568
13.800000	98.864	-87.7868
14.000000	98.971	-88.8958
14.300000	99.124	-90.5204
14.500000	99.222	-91.5785
14.750000	99.340	-92.8736
15.000000	99.452	-94.1386
15.250000	99.561	-95.3746
15.500000	99.666	-96.5846
15.750000	99.768	-97.7712
16.000000	99.868	-98.9390
16.250000	99.966	-100.0926
16.500000	100.061	-101.2336
16.750000	100.152	-102.3641
17.000000	100.238	-103.4808
17.250000	100.319	-104.5799
17.500000	100.394	-105.6561
17.750000	100.466	-106.7022
18.000000	100.533	-107.7163
18.250000	100.599	-108.6965
18.500000	100.663	-109.6475
18.750000	100.727	-110.5754
19.000000	100.792	-111.4865
19.250000	100.856	-112.3903
19.500000	100.918	-113.2897
19.750000	100.980	-114.1867
20.000000	101.038	-115.0792
20.299999	101.104	-116.1381
20.600000	101.167	-117.1776
20.900000	101.226	-118.1934
21.200001	101.283	-119.1855
21.400000	101.319	-119.8363
21.799999	101.390	-121.1182
22.000000	101.424	-121.7508
22.400000	101.487	-122.9980
22.700001	101.531	-123.9120
23.000000	101.571	-124.8012
23.299999	101.610	-125.6635
23.600000	101.647	-126.5016
24.000000	101.697	-127.5902
24.299999	101.733	-128.3931
24.700001	101.779	-129.4504
25.000000	101.811	-130.2317
25.400000	101.851	-131.2511
25.799999	101.887	-132.2398
26.200001	101.922	-133.2014
26.500000	101.948	-133.9100
26.900000	101.981	-134.8429
27.200001	102.004	-135.5331
27.600000	102.031	-136.4359
28.000000	102.057	-137.3130
28.500000	102.088	-138.3768
29.000000	102.119	-139.4229
29.500000	102.148	-140.4641
30.000000	102.171	-141.4912
30.400000	102.185	-142.2887
30.700001	102.194	-142.8680
31.100000	102.206	-143.6169
31.500000	102.219	-144.3453
32.000000	102.235	-145.2386
32.500000	102.252	-146.1190
33.000000	102.266	-146.9861
33.500000	102.279	-147.8374
34.000000	102.291	-148.6715
34.500000	102.301	-149.4887
35.000000	102.310	-150.2910
35.500000	102.317	-151.0806
36.000000	102.322	-151.8540
36.500000	102.325	-152.6026
37.000000	102.327	-153.3210
37.500000	102.331	-154.0185
38.200001	102.339	-154.9939
38.700001	102.341	-155.6985
39.500000	102.337	-156.7968
40.000000	102.332	-157.4424
40.599998	102.327	-158.1830
41.200001	102.324	-158.9104
41.799999	102.319	-159.6338
42.500000	102.310	-160.4611
43.099998	102.300	-161.1443
43.700001	102.289	-161.8040
44.400002	102.276	-162.5508
45.000000	102.264	-163.1696
45.500000	102.255	-163.6655
46.200001	102.246	-164.3396
46.799999	102.242	-164.9265
47.500000	102.236	-165.6400
48.200001	102.226	-166.3590
48.700001	102.216	-166.8609
49.400002	102.198	-167.5438
50.000000	102.179	-168.1044
50.799999	102.150	-168.8081
51.500000	102.125	-169.4114
52.200001	102.097	-170.0200
53.000000	102.059	-170.6742
53.799999	102.025	-171.2687
54.500000	102.000	-171.7943
55.200001	101.975	-172.3498
56.000000	101.939	-172.9854
57.000000	101.888	-173.7057
58.000000	101.846	-174.3494
59.000000	101.816	-175.0316
60.000000	101.780	-175.7674
60.799999	101.744	-176.3393
61.500000	101.710	-176.8120
62.200001	101.675	-177.2586
63.000000	101.638	-177.7444
64.000000	101.597	-178.3232
65.000000	101.560	-178.8751
66.000000	101.528	-179.4388
67.000000	101.491	179.9979
68.000000	101.457	179.4774
69.000000	101.427	178.9452
70.000000	101.394	178.3899
71.000000	101.357	177.8622
72.000000	101.319	177.3543
73.000000	101.279	176.8581
74.000000	101.238	176.3856
75.000000	101.199	175.9294
76.199997	101.154	175.3847
77.500000	101.104	174.8042
78.800003	101.054	174.2619
80.000000	101.009	173.7703
81.199997	100.958	173.3016
82.500000	100.902	172.8220
83.800003	100.846	172.3581
85.000000	100.795	171.9290
86.199997	100.745	171.4915
87.500000	100.686	171.0341
88.500000	100.641	170.7166
90.000000	100.579	170.2701
91.199997	100.530	169.9099
92.500000	100.476	169.5250
93.800003	100.419	169.1607
95.000000	100.367	168.8418
96.199997	100.316	168.5318
97.500000	100.261	168.1956
98.800003	100.207	167.8492
100.000000	100.154	167.5312
101.500000	100.088	167.1483
103.000000	100.021	166.7812
104.400002	99.959	166.4649
106.000000	99.891	166.1377
107.500000	99.829	165.8351
109.000000	99.764	165.5282
110.599998	99.692	165.2251
112.000000	99.631	164.9762
113.800003	99.555	164.6573
115.000000	99.506	164.4413
117.199997	99.417	164.0495
118.000000	99.385	163.9196
120.599998	99.283	163.5467
122.000000	99.229	163.3511
124.099998	99.148	163.0453
125.000000	99.114	162.9135
126.500000	99.061	162.7026
128.000000	99.014	162.5082
131.500000	98.912	162.0942
132.000000	98.897	162.0394
134.000000	98.839	161.8224
136.000000	98.779	161.5975
138.000000	98.718	161.3936
140.000000	98.659	161.2229
143.000000	98.571	160.9917
145.000000	98.510	160.8493
147.500000	98.438	160.6829
150.000000	98.371	160.5149
152.500000	98.305	160.3691
155.000000	98.237	160.2404
157.500000	98.170	160.1060
160.000000	98.100	159.9716
162.500000	98.023	159.8603
165.000000	97.943	159.7754
167.500000	97.865	159.6991
170.000000	97.790	159.6105
172.500000	97.716	159.5374
175.000000	97.642	159.4696
177.500000	97.564	159.3925
180.000000	97.485	159.3278
182.500000	97.411	159.2771
185.000000	97.339	159.2360
187.500000	97.264	159.2178
190.000000	97.191	159.2231
192.500000	97.120	159.2291
195.000000	97.051	159.2333
197.500000	96.981	159.2549
200.000000	96.914	159.2955
203.000000	96.838	159.3578
206.000000	96.768	159.4270
209.000000	96.700	159.4945
212.000000	96.634	159.5598
214.000000	96.592	159.6086
218.000000	96.513	159.7223
220.000000	96.474	159.7727
224.000000	96.395	159.8544
227.000000	96.336	159.9131
230.000000	96.276	159.9933
233.000000	96.214	160.0788
236.000000	96.154	160.1420
240.000000	96.074	160.2437
243.000000	96.013	160.3486
247.000000	95.933	160.5161
250.000000	95.873	160.6618
254.000000	95.790	160.8772
258.000000	95.707	161.1202
262.000000	95.627	161.3880
265.000000	95.572	161.6005
269.000000	95.504	161.9039
272.000000	95.457	162.1483
276.000000	95.400	162.4700
280.000000	95.352	162.7644
285.000000	95.305	163.0768
290.000000	95.263	163.3062
295.000000	95.218	163.4644
300.000000	95.164	163.5788
304.000000	95.115	163.6649
307.000000	95.077	163.7431
311.000000	95.026	163.8614
315.000000	94.979	163.9796
320.000000	94.925	164.1234
325.000000	94.873	164.2881
330.000000	94.821	164.4726
335.000000	94.770	164.6664
340.000000	94.719	164.8763
345.000000	94.669	165.0947
350.000000	94.621	165.3243
355.000000	94.575	165.5619
360.000000	94.529	165.8069
365.000000	94.483	166.0580
370.000000	94.440	166.3112
375.000000	94.400	166.5698
382.000000	94.345	166.9457
387.000000	94.305	167.2233
395.000000	94.247	167.6648
400.000000	94.213	167.9416
406.000000	94.171	168.2750
412.000000	94.129	168.6072
418.000000	94.089	168.9476
425.000000	94.045	169.3526
431.000000	94.009	169.6999
437.000000	93.975	170.0546
444.000000	93.938	170.4746
450.000000	93.909	170.8380
455.000000	93.886	171.1486
462.000000	93.855	171.5779
468.000000	93.830	171.9319
475.000000	93.804	172.3427
482.000000	93.778	172.7511
487.000000	93.760	173.0356
494.000000	93.737	173.4338
500.000000	93.720	173.7737
508.000000	93.698	174.2216
515.000000	93.679	174.6147
522.000000	93.663	175.0085
530.000000	93.645	175.4618
538.000000	93.630	175.9247
545.000000	93.616	176.3367
552.000000	93.604	176.7480
560.000000	93.592	177.2141
570.000000	93.579	177.7960
580.000000	93.569	178.3845
590.000000	93.561	178.9690
600.000000	93.555	179.5549
