* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.800. Timing signal peak level -12.3 dBFS, measurement signal peak level -12.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 9. 20 오전 12:21:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0178 ms (-6.1 mm, -0.24 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	51.769	39.3388
1.015000	52.146	41.3907
1.030000	52.520	43.3452
1.044000	52.866	45.0702
1.060000	53.255	46.9105
1.075000	53.611	48.4957
1.090000	53.957	49.9322
1.106000	54.316	51.2964
1.120000	54.635	52.4004
1.138000	55.057	53.7161
1.150000	55.345	54.5305
1.172000	55.884	55.8977
1.180000	56.083	56.3557
1.206000	56.740	57.7062
1.220000	57.098	58.3491
1.241000	57.639	59.2085
1.250000	57.872	59.5396
1.265000	58.260	60.0439
1.280000	58.649	60.4908
1.315000	59.550	61.3246
1.320000	59.677	61.4211
1.340000	60.183	61.7546
1.360000	60.680	62.0080
1.380000	61.166	62.1872
1.400000	61.639	62.2981
1.430000	62.320	62.3490
1.450000	62.751	62.3146
1.475000	63.262	62.1871
1.500000	63.750	61.8267
1.525000	64.220	61.2274
1.550000	64.672	60.4222
1.575000	65.108	59.4444
1.600000	65.529	58.3270
1.625000	65.938	57.1032
1.650000	66.334	55.8060
1.675000	66.721	54.4687
1.700000	67.098	53.1242
1.725000	67.468	51.8059
1.750000	67.832	50.5467
1.775000	68.191	49.3798
1.800000	68.547	48.3383
1.825000	68.901	47.4553
1.850000	69.251	46.7296
1.875000	69.593	46.0897
1.900000	69.926	45.5215
1.925000	70.251	45.0143
1.950000	70.568	44.5573
1.975000	70.878	44.1396
2.000000	71.181	43.7504
2.030000	71.538	43.3056
2.060000	71.886	42.8675
2.090000	72.228	42.4174
2.120000	72.565	41.9365
2.140000	72.786	41.5895
2.180000	73.224	40.8074
2.200000	73.441	40.3613
2.240000	73.866	39.3875
2.270000	74.176	38.6063
2.300000	74.479	37.7904
2.330000	74.775	36.9478
2.360000	75.065	36.0865
2.400000	75.444	34.9228
2.430000	75.722	34.0490
2.470000	76.086	32.8979
2.500000	76.355	32.0553
2.540000	76.708	30.9748
2.580000	77.057	29.9563
2.620000	77.397	28.9716
2.650000	77.646	28.2485
2.690000	77.972	27.3034
2.720000	78.211	26.6074
2.760000	78.525	25.6947
2.800000	78.832	24.7974
2.850000	79.208	23.6939
2.900000	79.577	22.6063
2.950000	79.940	21.5331
3.000000	80.293	20.4941
3.040000	80.570	19.6855
3.070000	80.773	19.0886
3.110000	81.040	18.3013
3.150000	81.302	17.5189
3.200000	81.624	16.5396
3.250000	81.940	15.5492
3.300000	82.251	14.5372
3.350000	82.556	13.4953
3.400000	82.854	12.4309
3.450000	83.145	11.3564
3.500000	83.430	10.2841
3.550000	83.710	9.2264
3.600000	83.985	8.1956
3.650000	84.256	7.2042
3.700000	84.522	6.2626
3.750000	84.783	5.3662
3.820000	85.139	4.1639
3.870000	85.388	3.3259
3.950000	85.777	1.9865
4.000000	86.015	1.1310
4.060000	86.296	0.0679
4.120000	86.570	-1.0266
4.180000	86.838	-2.1369
4.250000	87.144	-3.4325
4.310000	87.401	-4.5263
4.370000	87.653	-5.5889
4.440000	87.940	-6.7743
4.500000	88.181	-7.7518
4.550000	88.378	-8.5473
4.620000	88.649	-9.6431
4.680000	88.875	-10.5768
4.750000	89.135	-11.6735
4.820000	89.389	-12.7859
4.870000	89.567	-13.5842
4.940000	89.811	-14.7005
5.000000	90.016	-15.6508
5.080000	90.283	-16.8990
5.150000	90.512	-17.9655
5.220000	90.737	-19.0090
5.300000	90.987	-20.1800
5.380000	91.231	-21.3337
5.450000	91.440	-22.3335
5.520000	91.646	-23.3282
5.600000	91.876	-24.4550
5.700000	92.155	-25.8466
5.800000	92.427	-27.2192
5.900000	92.692	-28.5725
6.000000	92.950	-29.9070
6.080000	93.151	-30.9607
6.150000	93.324	-31.8724
6.220000	93.494	-32.7741
6.300000	93.684	-33.7911
6.400000	93.917	-35.0425
6.500000	94.143	-36.2766
6.600000	94.364	-37.4985
6.700000	94.580	-38.7095
6.800000	94.790	-39.9071
6.900000	94.996	-41.0890
7.000000	95.196	-42.2531
7.100000	95.392	-43.3982
7.200000	95.583	-44.5277
7.300000	95.770	-45.6456
7.400000	95.953	-46.7544
7.500000	96.132	-47.8521
7.620000	96.340	-49.1537
7.750000	96.560	-50.5432
7.880000	96.773	-51.9109
8.000000	96.964	-53.1564
8.120000	97.150	-54.3883
8.250000	97.345	-55.7065
8.380000	97.534	-57.0067
8.500000	97.704	-58.1903
8.620000	97.868	-59.3584
8.750000	98.040	-60.6051
8.850000	98.169	-61.5502
9.000000	98.356	-62.9459
9.120000	98.501	-64.0425
9.250000	98.654	-65.2099
9.380000	98.804	-66.3563
9.500000	98.937	-67.3953
9.620000	99.065	-68.4153
9.750000	99.199	-69.4990
9.880000	99.326	-70.5635
10.000000	99.436	-71.5294
10.150000	99.565	-72.7140
10.300000	99.688	-73.8780
10.440000	99.795	-74.9447
10.600000	99.912	-76.1451
10.750000	100.019	-77.2557
10.900000	100.123	-78.3513
11.060000	100.232	-79.5072
11.200000	100.324	-80.5073
11.380000	100.439	-81.7791
11.500000	100.514	-82.6189
11.720000	100.644	-84.1400
11.800000	100.690	-84.6869
12.060000	100.833	-86.4413
