* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.800. Timing signal peak level -12.4 dBFS, measurement signal peak level -11.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 9. 20 오전 12:24:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0179 ms (-6.1 mm, -0.24 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	52.461	36.5469
1.015000	52.827	38.7009
1.030000	53.192	40.7563
1.044000	53.529	42.5737
1.060000	53.910	44.5172
1.075000	54.261	46.1959
1.090000	54.603	47.7222
1.106000	54.961	49.1788
1.120000	55.281	50.3675
1.138000	55.706	51.7989
1.150000	55.997	52.6940
1.172000	56.545	54.2152
1.180000	56.748	54.7308
1.206000	57.420	56.2726
1.220000	57.788	57.0201
1.241000	58.346	58.0369
1.250000	58.586	58.4352
1.265000	58.988	59.0507
1.280000	59.390	59.6071
1.315000	60.322	60.6854
1.320000	60.455	60.8152
1.340000	60.979	61.2767
1.360000	61.494	61.6486
1.380000	61.997	61.9351
1.400000	62.486	62.1403
1.430000	63.188	62.3045
1.450000	63.631	62.3244
1.475000	64.152	62.2377
1.500000	64.650	61.8836
1.525000	65.127	61.2596
1.550000	65.586	60.4032
1.575000	66.028	59.3521
1.600000	66.455	58.1441
1.625000	66.867	56.8167
1.650000	67.268	55.4077
1.675000	67.657	53.9547
1.700000	68.037	52.4953
1.725000	68.410	51.0672
1.750000	68.776	49.7081
1.775000	69.137	48.4557
1.800000	69.496	47.3476
1.825000	69.852	46.4215
1.850000	70.206	45.6763
1.875000	70.550	45.0319
1.900000	70.885	44.4720
1.925000	71.211	43.9841
1.950000	71.530	43.5552
1.975000	71.841	43.1728
2.000000	72.146	42.8241
2.030000	72.503	42.4324
2.060000	72.853	42.0490
2.090000	73.196	41.6519
2.120000	73.533	41.2193
2.140000	73.755	40.9003
2.180000	74.194	40.1595
2.200000	74.411	39.7250
2.240000	74.837	38.7623
2.270000	75.147	37.9824
2.300000	75.451	37.1629
2.330000	75.747	36.3129
2.360000	76.038	35.4414
2.400000	76.416	34.2614
2.430000	76.694	33.3746
2.470000	77.059	32.2071
2.500000	77.327	31.3543
2.540000	77.681	30.2648
2.580000	78.030	29.2440
2.620000	78.370	28.2598
2.650000	78.619	27.5382
2.690000	78.945	26.5963
2.720000	79.184	25.9038
