* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.250. Timing signal peak level -25.3 dBFS, measurement signal peak level -24.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 6. 10 오전 2:41:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0223 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: Zero:Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	35.183	-2.7606
1.015000	34.980	-0.7952
1.030000	34.816	1.1636
1.044000	34.702	2.9793
1.060000	34.624	5.0316
1.075000	34.605	6.9259
1.090000	34.643	8.7837
1.106000	34.751	10.7363
1.120000	34.903	12.5221
1.138000	35.173	14.9393
1.150000	35.396	16.6169
1.172000	35.885	19.8058
1.180000	36.087	20.9956
1.206000	36.818	24.9434
1.220000	37.255	27.1038
1.241000	37.956	30.3627
1.250000	38.271	31.7587
1.265000	38.812	34.0745
1.280000	39.368	36.3662
1.315000	40.704	41.5493
1.320000	40.896	42.2642
1.340000	41.665	45.0418
1.360000	42.422	47.6659
1.380000	43.159	50.1070
1.400000	43.863	52.3357
1.430000	44.838	55.2161
1.450000	45.418	56.7849
1.475000	46.053	58.3049
1.500000	46.646	59.3681
1.525000	47.214	60.0268
1.550000	47.757	60.3265
1.575000	48.279	60.3128
1.600000	48.781	60.0311
1.625000	49.264	59.5269
1.650000	49.731	58.8459
1.675000	50.183	58.0334
1.700000	50.622	57.1351
1.725000	51.050	56.1963
1.750000	51.469	55.2628
1.775000	51.880	54.3799
1.800000	52.286	53.5932
1.825000	52.688	52.9482
1.850000	53.083	52.4146
1.875000	53.465	51.8373
1.900000	53.832	51.2155
1.925000	54.187	50.5558
1.950000	54.531	49.8646
1.975000	54.863	49.1487
2.000000	55.186	48.4144
2.030000	55.563	47.5185
2.060000	55.929	46.6170
2.090000	56.287	45.7214
2.120000	56.637	44.8429
2.140000	56.868	44.2724
2.180000	57.325	43.1828
2.200000	57.552	42.6703
2.240000	57.995	41.6889
2.270000	58.316	40.9785
2.300000	58.627	40.2859
2.330000	58.931	39.6073
2.360000	59.226	38.9389
2.400000	59.610	38.0571
2.430000	59.892	37.3978
2.470000	60.259	36.5145
2.500000	60.530	35.8439
2.540000	60.886	34.9316
2.580000	61.238	33.9903
2.620000	61.581	33.0162
2.650000	61.831	32.2694
2.690000	62.157	31.2604
2.720000	62.396	30.4994
2.760000	62.709	29.4874
2.800000	63.014	28.4880
2.850000	63.389	27.2725
2.900000	63.757	26.1132
2.950000	64.119	25.0299
3.000000	64.472	24.0227
3.040000	64.747	23.2597
3.070000	64.950	22.7062
3.110000	65.216	21.9857
3.150000	65.477	21.2764
3.200000	65.799	20.3914
3.250000	66.114	19.4909
3.300000	66.425	18.5565
3.350000	66.731	17.5871
3.400000	67.030	16.5976
3.450000	67.323	15.5985
3.500000	67.610	14.6002
3.550000	67.892	13.6132
3.600000	68.170	12.6481
3.650000	68.444	11.7152
3.700000	68.714	10.8226
3.750000	68.978	9.9648
3.820000	69.341	8.8052
3.870000	69.594	7.9944
3.950000	69.992	6.7025
4.000000	70.236	5.8846
4.060000	70.523	4.8803
4.120000	70.805	3.8599
4.180000	71.081	2.8327
4.250000	71.396	1.6358
4.310000	71.661	0.6203
4.370000	71.921	-0.3776
4.440000	72.219	-1.5121
4.500000	72.468	-2.4643
4.550000	72.672	-3.2470
4.620000	72.952	-4.3310
4.680000	73.187	-5.2535
4.750000	73.457	-6.3279
4.820000	73.721	-7.4031
4.870000	73.906	-8.1691
4.940000	74.159	-9.2364
5.000000	74.372	-10.1444
5.080000	74.651	-11.3423
5.150000	74.889	-12.3754
5.220000	75.123	-13.3957
5.300000	75.384	-14.5478
5.380000	75.639	-15.6857
5.450000	75.857	-16.6705
5.520000	76.072	-17.6455
5.600000	76.312	-18.7459
5.700000	76.605	-20.1023
5.800000	76.890	-21.4412
5.900000	77.169	-22.7662
6.000000	77.440	-24.0768
6.080000	77.652	-25.1136
6.150000	77.834	-26.0117
6.220000	78.013	-26.9009
6.300000	78.214	-27.9051
6.400000	78.460	-29.1430
6.500000	78.699	-30.3654
6.600000	78.933	-31.5764
6.700000	79.161	-32.7772
6.800000	79.384	-33.9657
6.900000	79.602	-35.1398
7.000000	79.814	-36.2978
7.100000	80.022	-37.4392
7.200000	80.224	-38.5661
7.300000	80.422	-39.6803
7.400000	80.616	-40.7828
7.500000	80.806	-41.8727
7.620000	81.027	-43.1639
7.750000	81.261	-44.5419
7.880000	81.489	-45.8972
8.000000	81.693	-47.1311
8.120000	81.893	-48.3509
8.250000	82.103	-49.6550
8.380000	82.308	-50.9427
8.500000	82.493	-52.1184
8.620000	82.672	-53.2810
8.750000	82.862	-54.5259
8.850000	83.003	-55.4735
9.000000	83.210	-56.8787
9.120000	83.370	-57.9876
9.250000	83.540	-59.1733
9.380000	83.705	-60.3432
9.500000	83.852	-61.4066
9.620000	83.993	-62.4531
9.750000	84.141	-63.5686
9.880000	84.281	-64.6644
10.000000	84.402	-65.6579
10.150000	84.544	-66.8760
10.300000	84.678	-68.0697
10.440000	84.796	-69.1605
10.600000	84.925	-70.3845
10.750000	85.044	-71.5132
10.900000	85.160	-72.6237
11.060000	85.280	-73.7951
11.200000	85.384	-74.8080
11.380000	85.514	-76.0983
11.500000	85.598	-76.9524
11.720000	85.746	-78.5039
11.800000	85.798	-79.0638
12.060000	85.959	-80.8658
12.200000	86.044	-81.8222
12.410000	86.167	-83.2372
12.500000	86.220	-83.8344
12.650000	86.308	-84.8180
12.800000	86.396	-85.7859
13.150000	86.596	-87.9792
13.200000	86.623	-88.2857
13.400000	86.732	-89.4937
13.600000	86.837	-90.6784
13.800000	86.938	-91.8412
14.000000	87.037	-92.9865
14.300000	87.178	-94.6740
14.500000	87.268	-95.7806
14.750000	87.376	-97.1409
15.000000	87.478	-98.4742
15.250000	87.574	-99.7764
15.500000	87.666	-101.0463
15.750000	87.755	-102.2843
16.000000	87.842	-103.4926
16.250000	87.928	-104.6775
16.500000	88.012	-105.8427
16.750000	88.094	-106.9936
17.000000	88.173	-108.1324
17.250000	88.248	-109.2587
17.500000	88.319	-110.3711
17.750000	88.386	-111.4646
18.000000	88.449	-112.5363
18.250000	88.507	-113.5831
18.500000	88.563	-114.6031
18.750000	88.616	-115.5975
19.000000	88.668	-116.5673
19.250000	88.718	-117.5164
19.500000	88.766	-118.4478
19.750000	88.813	-119.3639
20.000000	88.859	-120.2671
20.299999	88.911	-121.3347
20.600000	88.961	-122.3839
20.900000	89.007	-123.4130
21.200001	89.050	-124.4194
21.400000	89.078	-125.0763
21.799999	89.129	-126.3565
22.000000	89.154	-126.9806
22.400000	89.202	-128.2010
22.700001	89.238	-129.0970
23.000000	89.272	-129.9817
23.299999	89.305	-130.8570
23.600000	89.335	-131.7225
24.000000	89.372	-132.8576
24.299999	89.398	-133.6902
24.700001	89.428	-134.7711
25.000000	89.449	-135.5598
25.400000	89.475	-136.5852
25.799999	89.500	-137.5858
26.200001	89.522	-138.5649
26.500000	89.538	-139.2849
26.900000	89.557	-140.2244
27.200001	89.570	-140.9134
27.600000	89.585	-141.8122
28.000000	89.600	-142.6906
28.500000	89.616	-143.7623
29.000000	89.630	-144.8047
29.500000	89.641	-145.8182
30.000000	89.651	-146.8060
30.400000	89.657	-147.5799
30.700001	89.661	-148.1506
31.100000	89.666	-148.8979
31.500000	89.670	-149.6301
32.000000	89.675	-150.5286
32.500000	89.679	-151.4142
33.000000	89.681	-152.2856
33.500000	89.680	-153.1333
34.000000	89.677	-153.9499
34.500000	89.675	-154.7404
35.000000	89.674	-155.5168
35.500000	89.673	-156.2864
36.000000	89.669	-157.0452
36.500000	89.664	-157.7862
37.000000	89.657	-158.5078
37.500000	89.650	-159.2137
38.200001	89.638	-160.1793
38.700001	89.629	-160.8510
39.500000	89.612	-161.8951
40.000000	89.601	-162.5316
40.599998	89.587	-163.2793
41.200001	89.572	-164.0075
41.799999	89.558	-164.7184
42.500000	89.540	-165.5316
43.099998	89.523	-166.2144
43.700001	89.506	-166.8803
44.400002	89.485	-167.6365
45.000000	89.466	-168.2701
45.500000	89.450	-168.7887
46.200001	89.426	-169.4988
46.799999	89.405	-170.0923
47.500000	89.380	-170.7689
48.200001	89.355	-171.4306
48.700001	89.336	-171.8952
49.400002	89.308	-172.5354
50.000000	89.281	-173.0755
50.799999	89.241	-173.7803
51.500000	89.202	-174.3788
52.200001	89.164	-174.9615
53.000000	89.120	-175.6126
53.799999	89.075	-176.2444
54.500000	89.035	-176.7797
55.200001	88.995	-177.3042
56.000000	88.949	-177.8929
57.000000	88.888	-178.6097
58.000000	88.824	-179.3057
59.000000	88.759	-179.9625
60.000000	88.700	179.3871
60.799999	88.651	178.8459
61.500000	88.606	178.3893
62.200001	88.562	177.9650
