* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), R, volume: 0.250. Timing signal peak level -24.7 dBFS, measurement signal peak level -23.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 6. 10 오전 2:43:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0221 ms (-7.6 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: Zero:Red R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	36.305	0.3846
1.015000	36.129	2.3159
1.030000	35.991	4.2360
1.044000	35.898	6.0115
1.060000	35.838	8.0127
1.075000	35.833	9.8542
1.090000	35.879	11.6543
1.106000	35.990	13.5387
1.120000	36.140	15.2545
1.138000	36.402	17.5675
1.150000	36.617	19.1674
1.172000	37.084	22.1991
1.180000	37.276	23.3275
1.206000	37.971	27.0626
1.220000	38.384	29.1017
1.241000	39.047	32.1718
1.250000	39.345	33.4851
1.265000	39.855	35.6615
1.280000	40.381	37.8126
1.315000	41.641	42.6695
1.320000	41.823	43.3386
1.340000	42.549	45.9364
1.360000	43.264	48.3881
1.380000	43.961	50.6668
1.400000	44.629	52.7455
1.430000	45.555	55.4297
1.450000	46.108	56.8907
1.475000	46.718	58.3047
1.500000	47.290	59.2852
1.525000	47.839	59.8804
1.550000	48.368	60.1337
1.575000	48.876	60.0887
1.600000	49.367	59.7888
1.625000	49.841	59.2777
1.650000	50.301	58.5988
1.675000	50.746	57.7957
1.700000	51.180	56.9118
1.725000	51.603	55.9907
1.750000	52.017	55.0760
1.775000	52.424	54.2112
1.800000	52.824	53.4397
1.825000	53.220	52.8052
1.850000	53.610	52.2796
1.875000	53.986	51.7167
1.900000	54.348	51.1150
1.925000	54.699	50.4800
1.950000	55.039	49.8174
1.975000	55.369	49.1325
2.000000	55.689	48.4308
2.030000	56.063	47.5746
2.060000	56.426	46.7116
2.090000	56.782	45.8516
2.120000	57.130	45.0039
2.140000	57.359	44.4504
2.180000	57.813	43.3838
2.200000	58.038	42.8762
2.240000	58.478	41.8928
2.270000	58.797	41.1723
2.300000	59.107	40.4638
2.330000	59.408	39.7645
2.360000	59.702	39.0720
2.400000	60.085	38.1549
2.430000	60.365	37.4684
2.470000	60.730	36.5500
2.500000	61.000	35.8557
2.540000	61.355	34.9176
2.580000	61.705	33.9593
2.620000	62.046	32.9737
2.650000	62.296	32.2207
2.690000	62.621	31.2060
2.720000	62.859	30.4420
2.760000	63.170	29.4271
2.800000	63.475	28.4251
2.850000	63.848	27.2050
2.900000	64.214	26.0383
2.950000	64.575	24.9427
3.000000	64.927	23.9193
3.040000	65.201	23.1416
3.070000	65.403	22.5763
3.110000	65.668	21.8395
3.150000	65.929	21.1138
3.200000	66.249	20.2089
3.250000	66.563	19.2901
3.300000	66.874	18.3401
3.350000	67.178	17.3573
3.400000	67.476	16.3555
3.450000	67.768	15.3452
3.500000	68.054	14.3369
3.550000	68.335	13.3409
3.600000	68.612	12.3676
3.650000	68.885	11.4275
3.700000	69.155	10.5287
3.750000	69.419	9.6661
3.820000	69.781	8.5018
3.870000	70.034	7.6884
3.950000	70.431	6.3934
4.000000	70.674	5.5735
4.060000	70.962	4.5663
4.120000	71.244	3.5432
4.180000	71.520	2.5133
4.250000	71.836	1.3139
4.310000	72.101	0.2969
4.370000	72.362	-0.7016
4.440000	72.660	-1.8353
4.500000	72.910	-2.7853
4.550000	73.115	-3.5655
4.620000	73.396	-4.6455
4.680000	73.632	-5.5648
4.750000	73.903	-6.6364
4.820000	74.169	-7.7102
4.870000	74.354	-8.4758
4.940000	74.609	-9.5429
5.000000	74.823	-10.4511
5.080000	75.104	-11.6487
5.150000	75.344	-12.6810
5.220000	75.579	-13.6999
5.300000	75.841	-14.8502
5.380000	76.097	-15.9861
5.450000	76.317	-16.9691
5.520000	76.533	-17.9425
5.600000	76.775	-19.0413
5.700000	77.069	-20.3957
5.800000	77.356	-21.7321
5.900000	77.635	-23.0535
6.000000	77.908	-24.3593
6.080000	78.120	-25.3917
6.150000	78.303	-26.2857
6.220000	78.483	-27.1706
6.300000	78.685	-28.1695
6.400000	78.931	-29.4001
6.500000	79.171	-30.6150
6.600000	79.406	-31.8189
6.700000	79.636	-33.0128
6.800000	79.860	-34.1944
6.900000	80.078	-35.3624
7.000000	80.292	-36.5152
7.100000	80.500	-37.6524
7.200000	80.703	-38.7758
7.300000	80.902	-39.8874
7.400000	81.096	-40.9887
7.500000	81.286	-42.0785
7.620000	81.507	-43.3704
7.750000	81.741	-44.7490
7.880000	81.967	-46.1056
8.000000	82.170	-47.3400
8.120000	82.368	-48.5585
8.250000	82.576	-49.8599
8.380000	82.779	-51.1428
8.500000	82.961	-52.3112
8.620000	83.139	-53.4639
8.750000	83.326	-54.6963
8.850000	83.466	-55.6332
9.000000	83.672	-57.0197
9.120000	83.831	-58.1140
9.250000	84.001	-59.2856
9.380000	84.167	-60.4423
9.500000	84.315	-61.4971
9.620000	84.458	-62.5397
9.750000	84.608	-63.6553
9.880000	84.750	-64.7573
10.000000	84.873	-65.7628
10.150000	85.017	-67.0037
10.300000	85.153	-68.2267
10.440000	85.271	-69.3519
10.600000	85.400	-70.6190
10.750000	85.516	-71.7892
10.900000	85.629	-72.9419
11.060000	85.745	-74.1523
11.200000	85.843	-75.1952
11.380000	85.966	-76.5147
11.500000	86.045	-77.3810
11.720000	86.184	-78.9428
11.800000	86.233	-79.5026
12.060000	86.387	-81.2920
12.200000	86.469	-82.2384
12.410000	86.590	-83.6357
12.500000	86.642	-84.2271
12.650000	86.730	-85.2026
12.800000	86.818	-86.1658
13.150000	87.020	-88.3668
13.200000	87.048	-88.6758
13.400000	87.157	-89.8983
13.600000	87.262	-91.0985
13.800000	87.362	-92.2761
14.000000	87.459	-93.4316
14.300000	87.598	-95.1240
14.500000	87.687	-96.2267
14.750000	87.794	-97.5796
15.000000	87.897	-98.9060
15.250000	87.995	-100.2091
15.500000	88.089	-101.4891
15.750000	88.179	-102.7457
16.000000	88.265	-103.9774
16.250000	88.348	-105.1821
16.500000	88.427	-106.3590
16.750000	88.504	-107.5072
17.000000	88.578	-108.6290
17.250000	88.649	-109.7264
17.500000	88.718	-110.8022
17.750000	88.784	-111.8602
18.000000	88.848	-112.9013
18.250000	88.909	-113.9268
18.500000	88.967	-114.9360
18.750000	89.023	-115.9280
19.000000	89.075	-116.9019
19.250000	89.125	-117.8566
19.500000	89.173	-118.7927
19.750000	89.219	-119.7104
