* Measurement data measured by REW V5.30 beta 3
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -8.2 dBFS, measurement signal peak level -8.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -1.5 dBFS using an acoustic timing reference
* Dated: 2023. 11. 28 ¿ÀÀü 1:09:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: FAKE DIY IE900 - Measured with IEC 60318-4 - by SilicaGel; Delay -0.0262 ms (-9.0 mm, -0.35 in) using estimated IR delay relative to Acoustic reference played from 1: aune usb dac  1 with no timing offset Clock adjustment: -21.8 ppm
* Measurement: L Default Tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	57.267	48.7114
1.015000	57.700	49.1620
1.030000	58.125	49.5225
1.044000	58.510	49.7820
1.060000	58.937	49.9924
1.075000	59.320	50.1111
1.090000	59.686	50.1609
1.106000	60.060	50.1576
1.120000	60.380	50.1347
1.138000	60.788	50.0947
1.150000	61.059	50.0616
1.172000	61.550	49.9841
1.180000	61.727	49.9496
1.206000	62.299	49.8118
1.220000	62.603	49.7197
1.241000	63.055	49.5564
1.250000	63.246	49.4769
1.265000	63.564	49.3312
1.280000	63.878	49.1689
1.315000	64.599	48.7241
1.320000	64.700	48.6529
1.340000	65.102	48.3492
1.360000	65.498	48.0149
1.380000	65.887	47.6501
1.400000	66.269	47.2549
1.430000	66.829	46.6060
1.450000	67.194	46.1375
1.475000	67.639	45.5250
1.500000	68.070	44.9147
1.525000	68.490	44.3179
1.550000	68.897	43.7306
1.575000	69.294	43.1478
1.600000	69.680	42.5647
1.625000	70.057	41.9777
1.650000	70.425	41.3834
1.675000	70.786	40.7788
1.700000	71.139	40.1618
1.725000	71.486	39.5301
1.750000	71.827	38.8821
1.775000	72.164	38.2165
1.800000	72.497	37.5321
1.825000	72.826	36.8302
1.850000	73.150	36.1191
1.875000	73.468	35.4109
1.900000	73.778	34.7091
1.925000	74.081	34.0136
1.950000	74.378	33.3238
1.975000	74.669	32.6386
2.000000	74.954	31.9572
2.030000	75.290	31.1431
2.060000	75.618	30.3313
2.090000	75.941	29.5200
2.120000	76.258	28.7076
2.140000	76.466	28.1645
2.180000	76.878	27.0734
2.200000	77.081	26.5258
2.240000	77.480	25.4341
2.270000	77.771	24.6229
2.300000	78.055	23.8191
2.330000	78.334	23.0226
2.360000	78.606	22.2330
2.400000	78.962	21.1902
2.430000	79.224	20.4147
2.470000	79.566	19.3882
2.500000	79.818	18.6230
2.540000	80.149	17.6074
2.580000	80.475	16.5969
2.620000	80.793	15.5939
2.650000	81.026	14.8480
2.690000	81.330	13.8627
2.720000	81.553	13.1308
2.760000	81.845	12.1645
2.800000	82.131	11.2089
2.850000	82.481	10.0288
2.900000	82.823	8.8634
2.950000	83.159	7.7114
3.000000	83.487	6.5722
3.040000	83.742	5.6708
3.070000	83.930	5.0008
3.110000	84.176	4.1159
3.150000	84.418	3.2406
3.200000	84.715	2.1598
3.250000	85.006	1.0934
3.300000	85.291	0.0405
3.350000	85.571	-1.0002
3.400000	85.844	-2.0292
3.450000	86.111	-3.0459
3.500000	86.372	-4.0501
3.550000	86.628	-5.0419
3.600000	86.879	-6.0216
3.650000	87.127	-6.9895
3.700000	87.370	-7.9469
3.750000	87.608	-8.8944
3.820000	87.933	-10.2043
3.870000	88.160	-11.1278
3.950000	88.514	-12.5843
4.000000	88.731	-13.4819
4.060000	88.987	-14.5475
4.120000	89.237	-15.6017
4.180000	89.482	-16.6447
4.250000	89.761	-17.8464
4.310000	89.995	-18.8632
4.370000	90.224	-19.8680
4.440000	90.487	-21.0269
4.500000	90.706	-22.0104
