* Measurement data measured by REW V5.30 beta 3
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -10.4 dBFS, measurement signal peak level -10.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -14.5 dBFS using an acoustic timing reference
* Dated: 2023. 11. 28 ¿ÀÀü 12:37:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: FAKE DIY XELENTO - measured with IEC 60318-4 - by SilicaGel; Delay -0.0670 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from 1: EPOS GSX 300 1 with no timing offset
* Measurement: L Default Tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	54.521	-100.6899
1.015000	54.787	-101.8533
1.030000	55.051	-102.9911
1.044000	55.295	-104.0315
1.060000	55.571	-105.1966
1.075000	55.824	-106.2672
1.090000	56.073	-107.3172
1.106000	56.334	-108.4098
1.120000	56.562	-109.3337
1.138000	56.856	-110.4733
1.150000	57.053	-111.2043
1.172000	57.414	-112.4900
1.180000	57.546	-112.9413
1.206000	57.975	-114.3545
1.220000	58.206	-115.0845
1.241000	58.553	-116.1432
1.250000	58.701	-116.5848
1.265000	58.948	-117.3060
1.280000	59.194	-118.0102
1.315000	59.765	-119.5950
1.320000	59.846	-119.8155
1.340000	60.168	-120.6845
1.360000	60.488	-121.5347
1.380000	60.804	-122.3684
1.400000	61.117	-123.1877
1.430000	61.577	-124.3937
1.450000	61.879	-125.1837
1.475000	62.249	-126.1489
1.500000	62.613	-127.0698
1.525000	62.972	-127.9429
1.550000	63.326	-128.7758
1.575000	63.676	-129.5762
1.600000	64.021	-130.3512
1.625000	64.362	-131.1068
1.650000	64.698	-131.8482
1.675000	65.030	-132.5801
1.700000	65.358	-133.3063
1.725000	65.682	-134.0302
1.750000	66.002	-134.7548
1.775000	66.319	-135.4825
1.800000	66.632	-136.2149
1.825000	66.941	-136.9515
1.850000	67.246	-137.6834
1.875000	67.547	-138.3992
1.900000	67.843	-139.0966
1.925000	68.135	-139.7779
1.950000	68.423	-140.4456
1.975000	68.707	-141.1025
2.000000	68.988	-141.7507
2.030000	69.319	-142.5201
2.060000	69.646	-143.2834
2.090000	69.968	-144.0438
2.120000	70.285	-144.8039
2.140000	70.495	-145.3116
2.180000	70.909	-146.3314
2.200000	71.113	-146.8421
2.240000	71.515	-147.8521
2.270000	71.811	-148.5939
2.300000	72.101	-149.3232
2.330000	72.388	-150.0422
2.360000	72.669	-150.7530
2.400000	73.039	-151.6911
2.430000	73.311	-152.3901
2.470000	73.668	-153.3192
2.500000	73.932	-154.0158
2.540000	74.279	-154.9466
2.580000	74.621	-155.8779
2.620000	74.955	-156.8005
2.650000	75.201	-157.4842
2.690000	75.524	-158.3854
2.720000	75.761	-159.0546
2.760000	76.073	-159.9395
2.800000	76.378	-160.8177
2.850000	76.753	-161.9091
2.900000	77.121	-162.9968
2.950000	77.481	-164.0814
3.000000	77.832	-165.1573
3.040000	78.107	-166.0094
3.070000	78.309	-166.6434
3.110000	78.575	-167.4820
3.150000	78.836	-168.3136
3.200000	79.156	-169.3441
3.250000	79.470	-170.3659
3.300000	79.778	-171.3803
3.350000	80.080	-172.3871
3.400000	80.374	-173.3848
3.450000	80.661	-174.3723
3.500000	80.943	-175.3492
3.550000	81.218	-176.3156
3.600000	81.489	-177.2717
3.650000	81.754	-178.2180
3.700000	82.015	-179.1559
3.750000	82.270	179.9142
3.820000	82.617	178.6271
3.870000	82.860	177.7193
3.950000	83.238	176.2881
4.000000	83.469	175.4072
4.060000	83.742	174.3625
4.120000	84.008	173.3294
4.180000	84.267	172.3081
4.250000	84.563	171.1326
4.310000	84.811	170.1395
4.370000	85.054	169.1599
4.440000	85.332	168.0324
4.500000	85.564	167.0776
4.550000	85.754	166.2899
4.620000	86.015	165.2003
4.680000	86.233	164.2788
4.750000	86.484	163.2185
4.820000	86.729	162.1724
4.870000	86.900	161.4328
4.940000	87.136	160.4081
5.000000	87.334	159.5404
5.080000	87.592	158.3989
5.150000	87.813	157.4139
5.220000	88.030	156.4401
5.300000	88.272	155.3401
5.380000	88.508	154.2549
5.450000	88.710	153.3180
5.520000	88.908	152.3924
5.600000	89.130	151.3460
5.700000	89.400	150.0554
5.800000	89.662	148.7860
5.900000	89.917	147.5378
6.000000	90.165	146.3074
6.080000	90.358	145.3359
6.150000	90.524	144.4964
6.220000	90.686	143.6670
6.300000	90.868	142.7301
6.400000	91.090	141.5736
6.500000	91.306	140.4350
6.600000	91.516	139.3157
6.700000	91.720	138.2137
6.800000	91.920	137.1274
6.900000	92.114	136.0583
7.000000	92.304	135.0065
7.100000	92.489	133.9699
7.200000	92.669	132.9481
7.300000	92.845	131.9418
7.400000	93.017	130.9500
7.500000	93.186	129.9714
7.620000	93.382	128.8144
7.750000	93.590	127.5817
7.880000	93.791	126.3684
8.000000	93.972	125.2654
8.120000	94.148	124.1782
8.250000	94.333	123.0165
8.380000	94.513	121.8723
8.500000	94.675	120.8314
8.620000	94.832	119.8040
8.750000	94.997	118.7076
8.850000	95.121	117.8765
